"pre_idbatchcage","post_idbatch","batch","group","condition","Prerank","Postrank","SampleName","region"
"3Batch10Cage5","5-3Batch10",10,"reorganized","descenders",1,4,"G1.AMYB10.5.3.trim.sam.counts","AMY"
"3Batch10Cage3","3-3Batch10",10,"reorganized","same",1,1,"C6.PFCB10.3.3.trim.sam.counts","PFC"
"3Batch10Cage3","3-3Batch10",10,"reorganized","same",1,1,"G3.AMYB10.3.3.trim.sam.counts","AMY"
"3Batch9Cage2","2-3Batch9",9,"control","control",4,4,"A9.PFCB9.2.3.trim.sam.counts","PFC"
"3Batch9Cage2","2-3Batch9",9,"control","control",4,4,"C8.AMYB9.2.3.trim.sam.counts","AMY"
"2Batch9Cage2","2-2Batch9",9,"control","control",1,1,"A3.PFCB9.2.2.trim.sam.counts","PFC"
"2Batch9Cage2","2-2Batch9",9,"control","control",1,1,"G8.AMYB9.2.2.trim.sam.counts","AMY"
"1Batch8Cage4","4-1Batch8",8,"reorganized","ascenders",4,1,"C5.AMYB8.4.1.trim.sam.counts","AMY"
"1Batch8Cage4","4-1Batch8",8,"reorganized","ascenders",4,1,"D6.PFCB8.4.1.trim.sam.counts","PFC"
"2Batch8Cage2","2-2Batch8",8,"reorganized","same",4,4,"A7.PFCB8.2.2.trim.sam.counts","PFC"
"2Batch8Cage2","2-2Batch8",8,"reorganized","same",4,4,"H1.AMYB8.2.2.trim.sam.counts","AMY"
"2Batch14Cage1","1-2Batch14",14,"reorganized","same",1,1,"B8.AMYB14.1.2.trim.sam.counts","AMY"
"2Batch14Cage1","1-2Batch14",14,"reorganized","same",1,1,"E3.PFCB14.1.2.trim.sam.counts","PFC"
"2Batch14Cage4","4-2Batch14",14,"reorganized","descenders",1,4,"A6.PFCB14.4.2.trim.sam.counts","PFC"
"2Batch14Cage4","4-2Batch14",14,"reorganized","descenders",1,4,"F8.AMYB14.4.2.trim.sam.counts","AMY"
"4Batch9Cage3","3-4Batch9",9,"reorganized","descenders",1,4,"D5.AMYB9.3.4.trim.sam.counts","AMY"
"4Batch9Cage3","3-4Batch9",9,"reorganized","descenders",1,4,"E1.PFCB9.3.4.trim.sam.counts","PFC"
"3Batch9Cage1","1-3Batch9",9,"reorganized","same",1,1,"B4.AMYB9.1.3.trim.sam.counts","AMY"
"3Batch9Cage1","1-3Batch9",9,"reorganized","same",1,1,"D5.PFCB9.1.3.trim.sam.counts","PFC"
"1Batch14Cage3","3-1Batch14",14,"control","control",4,4,"C4.PFCB14.3.1.trim.sam.counts","PFC"
"1Batch14Cage3","3-1Batch14",14,"control","control",4,4,"H7.AMYB14.3.1.trim.sam.counts","AMY"
"4Batch14Cage3","3-4Batch14",14,"control","control",1,1,"F5.AMYB14.3.4.trim.sam.counts","AMY"
"4Batch14Cage3","3-4Batch14",14,"control","control",1,1,"G8.PFCB14.3.4.trim.sam.counts","PFC"
"2Batch12Cage4","4-2Batch12",12,"reorganized","ascenders",4,1,"E2.PFCB12.4.2.trim.sam.counts","PFC"
"2Batch12Cage4","4-2Batch12",12,"reorganized","ascenders",4,1,"F3.AMYB12.4.2.trim.sam.counts","AMY"
"2Batch12Cage1","1-2Batch12",12,"reorganized","same",4,4,"A8.AMYB12.1.2.trim.sam.counts","AMY"
"2Batch12Cage1","1-2Batch12",12,"reorganized","same",4,4,"F5.PFCB12.1.2.trim.sam.counts","PFC"
"3Batch11Cage1","1-3Batch11",11,"reorganized","descenders",1,4,"E3.AMYB11.1.3.trim.sam.counts","AMY"
"3Batch11Cage1","1-3Batch11",11,"reorganized","descenders",1,4,"G3.PFCB11.1.3.trim.sam.counts","PFC"
"4Batch11Cage4","4-4Batch11",11,"reorganized","same",1,1,"A3.AMYB11.4.4.trim.sam.counts","AMY"
"4Batch11Cage4","4-4Batch11",11,"reorganized","same",1,1,"H5.PFCB11.4.4.trim.sam.counts","PFC"
"3Batch13Cage5","5-3Batch13",13,"control","control",1,1,"C3.PFCB13.5.3.trim.sam.counts","PFC"
"3Batch13Cage5","5-3Batch13",13,"control","control",1,1,"G6.AMYB13.5.3.trim.sam.counts","AMY"
"1Batch13Cage5","5-1Batch13",13,"control","control",4,4,"A6.AMYB13.5.1.trim.sam.counts","AMY"
"1Batch13Cage5","5-1Batch13",13,"control","control",4,4,"E4.PFCB13.5.1.trim.sam.counts","PFC"
"4Batch11Cage2","2-4Batch11",11,"reorganized","same",3,3,"B1.AMYB11.2.4.trim.sam.counts","AMY"
"4Batch11Cage2","2-4Batch11",11,"reorganized","same",3,3,"D7.PFCB11.2.4.trim.sam.counts","PFC"
"3Batch9Cage5","5-3Batch9",9,"reorganized","descenders",1,3,"D2.AMYB9.5.3.trim.sam.counts","AMY"
"3Batch9Cage5","5-3Batch9",9,"reorganized","descenders",1,3,"D2.PFCB9.5.3.trim.sam.counts","PFC"
