"SampleName","region","batch","post_idbatch","AggGiven70min","AggRec70min","mean_con_ng_ul","period","pre_idbatch","pre_idbatchcage","group","time","Postds","Postrank","Preds","Prerank","condition","wt_d4","wt_d8","wt_12"
"H1.PFCB12.3.2.trim.sam.counts","PFC",12,"3-2Batch12",0,69,202.532783107409,"Post","2Batch1","2Batch12Cage3","control","1 hr",-1.70833333333333,3,-2.28571428571429,3,"control",36.8,37.3,37.3
"H2.AMYB14.1.4.trim.sam.counts","AMY",14,"1-4Batch14",0,60,429.161837153181,"Post","4Batch1","4Batch14Cage1","reorganized","1 hr",-0.863095238095238,3,-1.86666666666667,3,"same",38.2,37.9,41
"H2.PFCB13.5.2.trim.sam.counts","PFC",13,"5-2Batch13",0,17,63.9462250013509,"Post","2Batch1","2Batch13Cage5","control","1 hr",-1.2,3,-1.5,3,"control",38,37.6,36.8
"H3.AMYB8.2.4.trim.sam.counts","AMY",8,"2-4Batch8",0,42,154.21837931401,"Post","4Batch8","4Batch8Cage2","reorganized","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders",38.8,39,39.7
"H3.PFCB14.1.1.trim.sam.counts","PFC",14,"1-1Batch14",57,0,65.4780896941236,"Post","1Batch1","1Batch14Cage1","reorganized","1 hr",4.71428571428572,1,-4.79761904761905,4,"ascenders",37.6,36.4,34
"H4.AMYB14.6.4.trim.sam.counts","AMY",14,"6-4Batch14",0,2,360.241905196482,"Post","4Batch1","4Batch14Cage6","reorganized","1 hr",-0.790476190476191,3,4.60138888888889,1,"descenders",38.9,37.6,36.6
"H4.PFCB14.2.2.trim.sam.counts","PFC",14,"2-2Batch14",0,56,142.865668118802,"Post","2Batch1","2Batch14Cage2","reorganized","1 hr",-4.04761904761905,4,-5.35164835164835,4,"same",35.5,35.2,40.8
"H5.AMYB12.2.2.trim.sam.counts","AMY",12,"2-2Batch12",8,56,145.791648315593,"Post","2Batch1","2Batch12Cage2","reorganized","1 hr",-0.971428571428571,3,-1,3,"same",34.9,33.1,33.1
"H5.PFCB11.4.4.trim.sam.counts","PFC",11,"4-4Batch11",77,0,303.812723325927,"Post","4Batch1","4Batch11Cage4","reorganized","1 hr",3.1875,1,5.504329004329,1,"same",35.2,35.3,35.6
"H6.AMYB11.2.3.trim.sam.counts","AMY",11,"2-3Batch11",0,48,245.214919056076,"Post","3Batch1","3Batch11Cage2","reorganized","1 hr",-3.01704260651629,4,-3.61666666666667,4,"same",38.1,36.9,36.8
"H6.PFCB14.4.4.trim.sam.counts","PFC",14,"4-4Batch14",77,40,222.126301863549,"Post","4Batch1","4Batch14Cage4","reorganized","1 hr",2.44047619047619,1,-1.53070175438596,3,"ascenders",33.4,34.4,32.8
"H7.AMYB14.3.1.trim.sam.counts","AMY",14,"3-1Batch14",0,27,154.012951185335,"Post","1Batch1","1Batch14Cage3","control","1 hr",-2.73095238095238,4,-2.82896965734494,4,"control",41.5,43.6,37.8
"H7.PFCB9.4.2.trim.sam.counts","PFC",9,"4-2Batch9",68,0,96.2176315735226,"Post","2Batch9","2Batch9Cage4","reorganized","1 hr",3.65994152046784,1,-1.62424242424242,3,"ascenders",40.9,41.4,40.1
"H8.AMYB11.5.2.trim.sam.counts","AMY",11,"5-2Batch11",36,0,112.56600060094,"Post","2Batch1","2Batch11Cage5","control","1 hr",3.79166666666667,1,5.66195131301514,1,"control",32.8,31.8,31.8
"H8.PFCB12.2.1.trim.sam.counts","PFC",12,"2-1Batch12",0,42,127.895798954848,"Post","1Batch1","1Batch12Cage2","reorganized","1 hr",-2.08333333333333,3,4.56043956043956,1,"descenders",31.1,30.9,30.8
