Timestamp,Cage,Animal 1,Animal 1- Behavior,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
1/25/2020 11:07:26,Cage 1,1,Lunge,1,Lunge,Tmm ,Start,
1/25/2020 11:09:34,Cage 6,1,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
1/25/2020 11:09:47,Cage 6,1,"Lunge, Bite/Fight",3,"Flee, Freeze/immobility",,,
1/25/2020 11:10:34,Cage 6,4,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
1/25/2020 11:10:58,Cage 4,2,Lunge,4,Flee,,,
1/25/2020 11:11:51,Cage 3,4,"Lunge, Bite/Fight",3,"Subordinate posture, Freeze/immobility",,,
1/25/2020 11:12:08,Cage 4,2,Chase,4,Flee,,,
1/25/2020 11:12:54,Cage 3,4,"Lunge, Bite/Fight",1,Freeze/immobility,,,
1/25/2020 11:13:17,Cage 5,4,"Chase, Sniff",2,"Flee, Freeze/immobility",,,
1/25/2020 11:14:04,Cage 4,2,Lunge,3,Freeze/immobility,,,
1/25/2020 11:14:25,Cage 6,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/25/2020 11:14:42,Cage 3,4,Bite/Fight,2,Freeze/immobility,,,
1/25/2020 11:17:44,Cage 3,4,Lunge,2,Subordinate posture,,,
1/25/2020 11:18:13,Cage 4,2,"Bite/Fight, Chase",4,"Flee, Freeze/immobility",,,
1/25/2020 11:21:17,Cage 3,4,Bite/Fight,1,Flee,,,
1/25/2020 11:21:28,Cage 3,4,Bite/Fight,2,Freeze/immobility,,,
1/25/2020 11:22:01,Cage 4,2,Bite/Fight,4,"Flee, Freeze/immobility",,,
1/25/2020 11:22:12,Cage 4,2,Bite/Fight,3,Freeze/immobility,,,
1/25/2020 11:22:21,Cage 4,2,Lunge,1,Subordinate posture,,,
1/25/2020 11:24:22,Cage 1,2,"Lunge, Bite/Fight",4,Freeze/immobility,,,
1/25/2020 11:25:36,Cage 3,4,"Lunge, Bite/Fight",3,"Subordinate posture, Freeze/immobility",,,
1/25/2020 11:31:45,Cage 1,2,"Lunge, Chase",4,"Flee, Freeze/immobility",,,
1/25/2020 11:32:27,Cage 4,2,Sniff,4,Subordinate posture,,,
1/25/2020 11:32:52,Cage 6,4,"Bite/Fight, Sniff",3,Freeze/immobility,,,
1/25/2020 11:36:05,Cage 4,2,Lunge,4,Flee,,,
1/25/2020 11:37:31,Cage 4,2,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
1/25/2020 11:37:40,Cage 4,2,Bite/Fight,4,"Flee, Freeze/immobility",,,
1/25/2020 11:37:48,Cage 4,2,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/25/2020 11:42:22,Cage 1,2,Lunge,1,Flee,,,
1/25/2020 11:42:30,Cage 1,2,"Lunge, Bite/Fight",4,Freeze/immobility,,,
1/25/2020 11:46:24,Cage 1,2,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/25/2020 11:52:38,Cage 2,1,"Bite/Fight, Chase",2,"Flee, Freeze/immobility",,,
1/25/2020 11:52:49,Cage 2,1,Lunge,4,Flee,,,
1/25/2020 11:53:20,Cage 2,1,"Bite/Fight, Chase",2,"Flee, Subordinate posture",,,
1/25/2020 11:57:48,Cage 2,1,Sniff,2,Flee,,,
1/25/2020 11:58:14,Cage 1,2,Bite/Fight,3,"Flee, Freeze/immobility",,,
1/25/2020 12:02:46,Cage 3,4,Bite/Fight,1,Freeze/immobility,,,
1/25/2020 12:03:52,Cage 3,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/25/2020 12:04:02,Cage 3,4,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
1/25/2020 12:06:36,Cage 2,4,"Lunge, Chase",2,"Flee, Subordinate posture",,,
1/25/2020 12:07:22,Cage 3,4,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
1/25/2020 12:07:48,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/26/2020 12:26:24,Cage 1,1,Lunge,1,Lunge,Tmm ,Start,
1/26/2020 12:27:00,Cage 2,1,Bite/Fight,2,Flee,,,
1/26/2020 12:28:23,Cage 6,4,Bite/Fight,2,Freeze/immobility,,,
1/26/2020 12:28:44,Cage 4,2,"Bite/Fight, Chase",3,"Flee, Freeze/immobility",,,
1/26/2020 12:29:25,Cage 6,4,"Bite/Fight, Chase",2,"Flee, Freeze/immobility",,,
1/26/2020 12:31:50,Cage 3,2,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
1/26/2020 12:32:26,Cage 3,2,Bite/Fight,3,Subordinate posture,,,
1/26/2020 12:34:50,Cage 1,2,Bite/Fight,4,Freeze/immobility,,,
1/26/2020 12:34:59,Cage 1,2,Chase,1,Flee,,,
1/26/2020 12:35:16,Cage 1,2,"Bite/Fight, Mount",4,"Flee, Freeze/immobility",,,
1/26/2020 12:36:22,Cage 4,2,"Lunge, Bite/Fight",4,"Flee, Subordinate posture",,,
1/26/2020 12:36:55,Cage 4,2,"Lunge, Chase",3,Flee,,,
1/26/2020 12:37:44,Cage 4,2,Lunge,3,Subordinate posture,,,
1/26/2020 12:40:31,Cage 5,4,Bite/Fight,1,Freeze/immobility,,,
1/26/2020 12:41:18,Cage 3,4,"Bite/Fight, Chase",2,Flee,,,
1/26/2020 12:42:59,Cage 3,2,Bite/Fight,1,Freeze/immobility,,,
1/26/2020 12:43:09,Cage 3,4,"Lunge, Bite/Fight",2,"Flee, Subordinate posture, Freeze/immobility",,,
1/26/2020 12:46:05,Cage 4,2,"Lunge, Bite/Fight",1,Subordinate posture,,,
1/26/2020 12:46:12,Cage 3,4,"Bite/Fight, Chase",2,Flee,,,
1/26/2020 12:47:30,Cage 3,4,Lunge,2,Subordinate posture,,,
1/26/2020 12:49:55,Cage 2,1,"Chase, Sniff",4,Flee,,,
1/26/2020 12:53:07,Cage 3,4,"Lunge, Bite/Fight",2,"Flee, Subordinate posture, Freeze/immobility",,,
1/26/2020 12:58:22,Cage 2,3,"Lunge, Bite/Fight",2,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:00:57,Cage 2,1,"Bite/Fight, Chase",2,"Flee, Subordinate posture, Freeze/immobility",,,
1/26/2020 13:02:58,Cage 3,1,"Subordinate posture, Sniff",4,Bite/Fight,,,
1/26/2020 13:06:27,Cage 3,4,Bite/Fight,2,Freeze/immobility,,,
1/26/2020 13:06:58,Cage 2,3,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:07:45,Cage 4,2,"Lunge, Bite/Fight",4,Freeze/immobility,,,
1/26/2020 13:10:07,Cage 3,4,Bite/Fight,1,Subordinate posture,,,
1/26/2020 13:10:27,Cage 3,4,Lunge,2,Subordinate posture,,,
1/26/2020 13:12:49,Cage 3,4,"Lunge, Bite/Fight",3,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:15:14,Cage 6,4,Bite/Fight,3,"Flee, Freeze/immobility",,,
1/26/2020 13:15:47,Cage 2,3,Bite/Fight,1,Flee,,,
1/26/2020 13:17:45,Cage 5,4,"Bite/Fight, Sniff",2,"Freeze/immobility, Sniff",,,
1/26/2020 13:17:57,Cage 3,4,Chase,2,Flee,,,
1/26/2020 13:19:15,Cage 3,4,Bite/Fight,1,Freeze/immobility,,,
1/26/2020 13:19:58,Cage 2,4,Bite/Fight,2,Flee,,,
1/26/2020 13:20:05,Cage 2,3,"Lunge, Bite/Fight",4,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:20:21,Cage 4,2,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:21:49,Cage 3,4,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:24:31,Cage 6,4,Bite/Fight,1,Subordinate posture,,,
1/26/2020 13:26:11,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/26/2020 13:26:22,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/26/2020 13:26:34,Cage 2,4,"Bite/Fight, Chase",2,"Flee, Subordinate posture, Freeze/immobility",,,
1/26/2020 13:26:58,Cage 2,4,Bite/Fight,2,Freeze/immobility,,,
1/26/2020 13:27:54,Cage 4,2,"Lunge, Bite/Fight, Chase",4,"Flee, Freeze/immobility",,,
1/26/2020 13:28:18,Cage 2,3,"Lunge, Bite/Fight",2,Freeze/immobility,,,
1/26/2020 13:29:20,Cage 5,4,Bite/Fight,3,Freeze/immobility,,,
1/26/2020 13:30:02,Cage 1,2,"Lunge, Allogroom",3,Freeze/immobility,,,
1/26/2020 13:30:59,Cage 6,4,"Lunge, Bite/Fight, Chase",1,"Flee, Subordinate posture, Freeze/immobility",,,
1/26/2020 13:32:15,Cage 3,4,Bite/Fight,2,Freeze/immobility,,,
1/26/2020 13:32:22,Cage 3,4,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:34:55,Cage 4,2,Lunge,4,Subordinate posture,,,
1/26/2020 13:35:43,Cage 3,4,"Lunge, Bite/Fight",3,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:36:02,Cage 6,4,Bite/Fight,1,Freeze/immobility,,,
1/26/2020 13:37:30,Cage 4,4,"Bite/Fight, Sniff",1,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:38:35,Cage 4,2,Bite/Fight,1,Subordinate posture,,,
1/26/2020 13:38:48,Cage 4,2,"Lunge, Bite/Fight",3,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:50:59,Cage 6,4,"Bite/Fight, Chase",1,"Flee, Subordinate posture, Freeze/immobility",,,
1/26/2020 13:51:27,Cage 3,4,Bite/Fight,1,"Flee, Subordinate posture",,,
1/26/2020 13:53:38,Cage 2,4,"Bite/Fight, Chase",2,"Flee, Freeze/immobility",,,
1/26/2020 13:53:50,Cage 3,2,Bite/Fight,3,Freeze/immobility,,,
1/26/2020 13:54:08,Cage 3,2,Bite/Fight,1,"Flee, Subordinate posture",,,
1/26/2020 13:54:26,Cage 2,4,"Bite/Fight, Chase",2,Flee,,,
1/26/2020 13:54:33,Cage 2,3,Bite/Fight,4,Freeze/immobility,,,
1/26/2020 13:54:47,Cage 3,4,Bite/Fight,3,Freeze/immobility,,,
1/26/2020 13:55:07,Cage 4,3,Bite/Fight,1,Freeze/immobility,,,
1/26/2020 13:55:44,Cage 5,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/26/2020 13:55:57,Cage 2,4,"Lunge, Bite/Fight",2,"Flee, Subordinate posture, Freeze/immobility",,,
1/26/2020 13:56:13,Cage 5,4,"Bite/Fight, Chase",3,"Flee, Subordinate posture, Freeze/immobility",,,
1/26/2020 13:56:29,Cage 5,4,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
1/26/2020 14:00:23,Cage 2,3,"Lunge, Bite/Fight, Chase",2,"Flee, Subordinate posture, Freeze/immobility",,,
1/26/2020 14:00:33,Cage 2,3,Bite/Fight,2,Subordinate posture,,,
1/26/2020 14:00:45,Cage 5,4,Bite/Fight,3,Freeze/immobility,,,
1/26/2020 14:01:23,Cage 3,4,Lunge,3,Subordinate posture,,,
1/26/2020 14:02:37,Cage 4,3,Bite/Fight,1,Subordinate posture,,,
1/26/2020 14:03:30,Cage 4,3,"Lunge, Bite/Fight, Chase",4,"Flee, Subordinate posture",,,
1/26/2020 14:03:38,Cage 4,2,"Lunge, Bite/Fight",3,"Subordinate posture, Freeze/immobility",,,
1/26/2020 14:03:49,Cage 1,2,Mount,1,Freeze/immobility,,,
1/26/2020 14:04:36,Cage 1,2,"Bite/Fight, Mount",1,"Subordinate posture, Freeze/immobility",,,
1/26/2020 14:06:55,Cage 3,2,Bite/Fight,1,"Flee, Subordinate posture",,,
1/26/2020 14:07:21,Cage 3,2,Bite/Fight,1,Flee,,,
1/26/2020 14:07:28,Cage 3,4,"Lunge, Bite/Fight",2,"Flee, Subordinate posture, Freeze/immobility",,,
1/26/2020 14:07:48,Cage 2,4,"Bite/Fight, Chase",2,"Flee, Freeze/immobility",,,
1/26/2020 14:09:24,Cage 6,4,Bite/Fight,1,Freeze/immobility,,,
1/26/2020 14:09:49,Cage 1,2,"Bite/Fight, Chase",4,"Flee, Freeze/immobility",,,
1/26/2020 14:10:38,Cage 1,2,Bite/Fight,3,Subordinate posture,,,
1/26/2020 14:12:34,Cage 5,4,Bite/Fight,1,"Flee, Freeze/immobility",,,
1/26/2020 14:13:34,Cage 4,2,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
