Timestamp,Cage ,OG Cage Animal 1,Animal 1,Animal 1- Behavior,OG Cage Animal 2,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
10/3/2019 10:36:52,Cage 1,Cage 1,1,Lunge,Cage 1,1,Lunge,Tmm,Start,
10/3/2019 10:41:03,Cage 1,Cage 3,2,Bite/Fight,Cage 1,1,Subordinate posture,,,
10/3/2019 10:42:17,Cage 2,Cage 1,2,"Lunge, Bite/Fight",Cage 3,1,Subordinate posture,,,
10/3/2019 10:42:59,Cage 2,Cage 1,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
10/3/2019 10:44:00,Cage 2,Cage 1,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
10/3/2019 10:45:11,Cage 2,Cage 1,2,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
10/3/2019 10:46:02,Cage 2,Cage 1,2,Bite/Fight,Cage 3,1,"Flee, Subordinate posture",,,
10/3/2019 10:46:31,Cage 2,Cage 1,2,Bite/Fight,Cage 5,4,Subordinate posture,,,
10/3/2019 10:47:33,Cage 4,Cage 1,4,Bite/Fight,Cage 5,2,"Flee, Subordinate posture",,,
10/3/2019 10:48:20,Cage 2,Cage 1,2,"Lunge, Bite/Fight, Chase",Cage 5,4,"Subordinate posture, Freeze/immobility",,,Yes
10/3/2019 10:51:06,Cage 2,Cage 1,2,Bite/Fight,Cage 5,4,Freeze/immobility,,,
10/3/2019 10:51:33,Cage 4,Cage 1,4,"Bite/Fight, Chase",Cage 3,3,"Subordinate posture, Freeze/immobility",,,
10/3/2019 10:53:02,Cage 1,Cage 1,1,Bite/Fight,Cage 5,3,Subordinate posture,,,
10/3/2019 10:54:53,Cage 1,Cage 1,1,Bite/Fight,Cage 2,1,Subordinate posture,Blood,,
10/3/2019 10:55:09,Cage 1,Cage 1,1,Bite/Fight,Cage 5,3,Subordinate posture,,,
10/3/2019 10:56:32,Cage 3,Cage 2,3,"Bite/Fight, Chase",Cage 1,3,Flee,,,
10/3/2019 10:57:10,Cage 1,Cage 5,3,Sniff,Cage 2,1,Subordinate posture,,,
10/3/2019 10:58:08,Cage 4,Cage 1,4,Bite/Fight,Cage 3,3,Subordinate posture,,,
10/3/2019 10:59:06,Cage 1,Cage 1,1,Bite/Fight,Cage 2,1,Subordinate posture,,,
10/3/2019 10:59:18,Cage 1,Cage 1,1,Bite/Fight,Cage 2,1,Subordinate posture,,,
