Timestamp,Cage ,OG Cage Animal 1,Animal 1,Animal 1- Behavior,OG Cage Animal 2,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
10/24/2019 10:42:30,Cage 1,Cage 1,1,Lunge,Cage 1,1,Lunge,Tmm,,
10/24/2019 10:43:39,Cage 1,Cage 1,1,"Bite/Fight, Sniff",Cage 3,4,Subordinate posture,,,
10/24/2019 10:44:24,Cage 1,Cage 5,3,Sniff,Cage 3,4,Subordinate posture,,,
10/24/2019 10:44:56,Cage 1,Cage 1,1,Bite/Fight,Cage 2,2,"Subordinate posture, Freeze/immobility",,,
10/24/2019 10:46:04,Cage 4,Cage 2,3,Sniff,Cage 1,3,Walk away,,,
10/24/2019 10:46:28,Cage 1,Cage 1,1,Bite/Fight,Cage 2,2,Subordinate posture,,,
10/24/2019 10:46:47,Cage 1,Cage 1,1,Lunge,Cage 2,2,"Subordinate posture, Freeze/immobility",,,
10/24/2019 10:47:17,Cage 5,Cage 4,3,Bite/Fight,Cage 4,1,Flee,,,
10/24/2019 10:47:38,Cage 5,Cage 4,3,Bite/Fight,Cage 4,2,"Subordinate posture, Freeze/immobility",,,
10/24/2019 10:48:31,Cage 2,Cage 1,2,"Sniff, Allogroom",Cage 5,4,Walk away,,,Yes
10/24/2019 10:49:16,Cage 4,Cage 5,1,Bite/Fight,Cage 2,1,Walk away,,,
10/24/2019 10:49:46,Cage 1,Cage 1,1,Bite/Fight,Cage 3,4,"Flee, Subordinate posture",,,
10/24/2019 10:49:59,Cage 1,Cage 1,1,Bite/Fight,Cage 3,4,"Flee, Subordinate posture",,,
10/24/2019 10:51:07,Cage 1,Cage 2,2,Sniff,Cage 3,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 10:52:06,Cage 4,Cage 2,3,Sniff,Cage 3,1,Walk away,,,
10/24/2019 10:52:36,Cage 5,Cage 4,2,"Mount, Sniff",Cage 4,1,Freeze/immobility,,,
10/24/2019 10:53:09,Cage 2,Cage 3,2,Bite/Fight,Cage 2,3,Subordinate posture,,,
10/24/2019 10:53:48,Cage 2,Cage 5,4,"Bite/Fight, Sniff",Cage 1,2,"Subordinate posture, Freeze/immobility",,,
10/24/2019 10:54:21,Cage 2,Cage 3,2,Bite/Fight,Cage 1,2,Subordinate posture,,,
10/24/2019 10:54:35,Cage 2,Cage 5,4,Bite/Fight,Cage 1,2,Subordinate posture,,,
10/24/2019 10:55:07,Cage 2,Cage 3,2,Bite/Fight,Cage 1,2,"Subordinate posture, Freeze/immobility",,,
10/24/2019 10:55:34,Cage 2,Cage 5,4,"Bite/Fight, Sniff",Cage 3,2,"Subordinate posture, Freeze/immobility",,,
10/24/2019 10:57:19,Cage 4,Cage 5,1,"Chase, Mount",Cage 2,1,"Flee, Freeze/immobility",,,
10/24/2019 10:57:58,Cage 1,Cage 1,1,Bite/Fight,Cage 2,2,"Flee, Subordinate posture",,,
10/24/2019 10:58:21,Cage 1,Cage 1,1,Bite/Fight,Cage 2,2,"Flee, Subordinate posture",,,
10/24/2019 10:58:38,Cage 2,Cage 3,2,Bite/Fight,Cage 1,2,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:00:14,Cage 2,Cage 3,2,Bite/Fight,Cage 1,2,"Flee, Subordinate posture",,,
10/24/2019 11:00:42,Cage 2,Cage 5,4,"Bite/Fight, Chase",Cage 3,2,"Flee, Subordinate posture",,,
10/24/2019 11:06:11,Cage 1,Cage 5,3,Bite/Fight,Cage 1,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:06:11,Cage 2,Cage 3,2,Bite/Fight,Cage 2,3,"Flee, Freeze/immobility",,,
10/24/2019 11:06:56,Cage 2,Cage 3,2,Bite/Fight,Cage 2,3,Flee,,,
10/24/2019 11:09:15,Cage 3,Cage 5,2,Sniff,Cage 2,4,Walk away,,,
10/24/2019 11:10:54,Cage 2,Cage 3,2,"Bite/Fight, Chase",Cage 1,2,"Flee, Freeze/immobility",,,
10/24/2019 11:11:48,Cage 1,Cage 5,3,Bite/Fight,Cage 3,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:12:24,Cage 2,Cage 3,2,Lunge,Cage 1,2,Freeze/immobility,,,
10/24/2019 11:15:37,Cage 2,Cage 3,2,Bite/Fight,Cage 2,3,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:15:50,Cage 2,Cage 3,2,Bite/Fight,Cage 1,2,"Flee, Freeze/immobility",,,
10/24/2019 11:16:43,Cage 3,Cage 2,4,"Sniff, Allogroom",Cage 5,2,N/A,,,
10/24/2019 11:18:29,Cage 1,Cage 3,4,Sniff,Cage 1,1,Subordinate posture,,,
10/24/2019 11:19:18,Cage 1,Cage 5,3,"Bite/Fight, Sniff",Cage 3,4,"Flee, Subordinate posture",,,
10/24/2019 11:20:16,Cage 1,Cage 5,3,"Bite/Fight, Sniff",Cage 3,4,"Flee, Subordinate posture",,,
10/24/2019 11:20:32,Cage 2,Cage 3,2,"Lunge, Bite/Fight",Cage 1,2,"Flee, Freeze/immobility",,,
10/24/2019 11:21:45,Cage 2,Cage 5,4,"Lunge, Sniff",Cage 3,2,"Flee, Freeze/immobility",,,
10/24/2019 11:22:07,Cage 2,Cage 5,4,"Bite/Fight, Chase",Cage 2,3,"Flee, Subordinate posture",,,
10/24/2019 11:22:22,Cage 2,Cage 5,4,Bite/Fight,Cage 3,2,Freeze/immobility,,,
10/24/2019 11:23:34,Cage 2,Cage 5,4,Bite/Fight,Cage 2,3,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:24:08,Cage 2,Cage 3,2,"Lunge, Chase",Cage 2,3,Flee,,,
10/24/2019 11:26:06,Cage 2,Cage 3,2,"Bite/Fight, Chase",Cage 1,2,"Flee, Subordinate posture",,,
10/24/2019 11:27:23,Cage 2,Cage 3,2,Bite/Fight,Cage 5,4,Subordinate posture,,,
10/24/2019 11:28:11,Cage 2,Cage 3,2,"Lunge, Bite/Fight",Cage 2,3,"Flee, Subordinate posture",,,
10/24/2019 11:28:29,Cage 2,Cage 3,2,Bite/Fight,Cage 2,3,"Flee, Freeze/immobility",,,
10/24/2019 11:28:48,Cage 2,Cage 3,2,Bite/Fight,Cage 1,2,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:29:11,Cage 2,Cage 3,2,Bite/Fight,Cage 1,2,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:29:43,Cage 2,Cage 3,2,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:30:09,Cage 2,Cage 3,2,"Bite/Fight, Mount",Cage 5,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:30:24,Cage 2,Cage 3,2,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:30:52,Cage 4,Cage 5,1,Mount,Cage 2,1,Freeze/immobility,,,
10/24/2019 11:31:25,Cage 4,Cage 5,1,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:31:49,Cage 4,Cage 5,1,Bite/Fight,Cage 3,1,"Flee, Freeze/immobility",,,
10/24/2019 11:32:13,Cage 2,Cage 3,2,Bite/Fight,Cage 5,4,Subordinate posture,,,
10/24/2019 11:32:28,Cage 4,Cage 5,1,"Lunge, Bite/Fight",Cage 3,1,"Flee, Freeze/immobility",,,
10/24/2019 11:33:10,Cage 4,Cage 5,1,Bite/Fight,Cage 1,3,Subordinate posture,,,Yes
10/24/2019 11:33:36,Cage 4,Cage 1,3,"Bite/Fight, Sniff",Cage 2,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:34:06,Cage 4,Cage 1,3,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:34:34,Cage 4,Cage 1,3,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:35:24,Cage 4,Cage 5,1,"Lunge, Bite/Fight, Chase",Cage 2,1,"Flee, Subordinate posture",,,
10/24/2019 11:35:48,Cage 2,Cage 3,2,"Lunge, Bite/Fight",Cage 1,2,"Flee, Subordinate posture",,,
10/24/2019 11:36:04,Cage 4,Cage 5,1,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:37:20,Cage 2,Cage 3,2,Bite/Fight,Cage 2,3,"Flee, Freeze/immobility",,,Yes
10/24/2019 11:38:03,Cage 4,Cage 1,3,Mount,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:38:26,Cage 2,Cage 3,2,Bite/Fight,Cage 2,3,Subordinate posture,,,
10/24/2019 11:39:16,Cage 2,Cage 3,2,"Lunge, Chase",Cage 2,3,Flee,,,
10/24/2019 11:40:29,Cage 5,Cage 4,3,"Bite/Fight, Chase, Sniff",Cage 4,1,"Flee, Subordinate posture",,,
10/24/2019 11:41:26,Cage 2,Cage 3,2,"Bite/Fight, Chase",Cage 2,3,Flee,,,
10/24/2019 11:41:38,Cage 4,Cage 5,1,Bite/Fight,Cage 2,1,Flee,,,
10/24/2019 11:44:28,Cage 3,Cage 5,2,"Bite/Fight, Allogroom",Cage 2,4,Freeze/immobility,,,
10/24/2019 11:45:16,Cage 3,Cage 5,2,"Bite/Fight, Chase",Cage 2,4,"Flee, Subordinate posture, Freeze/immobility",,,
10/24/2019 11:45:43,Cage 3,Cage 5,2,Bite/Fight,Cage 3,3,"Subordinate posture, Freeze/immobility",,,Yes
10/24/2019 11:45:58,Cage 2,Cage 3,2,Lunge,Cage 2,3,Flee,,,
10/24/2019 11:46:54,Cage 1,Cage 5,3,Sniff,Cage 3,4,Freeze/immobility,,,
10/24/2019 11:48:11,Cage 4,Cage 3,1,Bite/Fight,Cage 2,1,Subordinate posture,,,
10/24/2019 11:51:20,Cage 2,Cage 3,2,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:52:09,Cage 5,Cage 4,1,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:53:35,Cage 2,Cage 3,2,Bite/Fight,Cage 2,3,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:53:58,Cage 2,Cage 3,2,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:54:46,Cage 3,Cage 5,2,"Bite/Fight, Mount",Cage 1,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 11:56:03,Cage 2,Cage 3,2,Bite/Fight,Cage 5,4,"Flee, Subordinate posture",,,
10/24/2019 11:58:36,Cage 2,Cage 3,2,"Lunge, Bite/Fight",Cage 2,3,Flee,,,
10/24/2019 11:59:40,Cage 4,Cage 5,1,Bite/Fight,Cage 3,1,Subordinate posture,,,
10/24/2019 12:02:38,Cage 4,Cage 5,1,"Bite/Fight, Chase",Cage 3,1,"Flee, Subordinate posture",,,
10/24/2019 12:03:00,Cage 4,Cage 5,1,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:03:47,Cage 2,Cage 3,2,Chase,Cage 2,3,"Flee, Freeze/immobility",,,
10/24/2019 12:05:43,Cage 2,Cage 3,2,"Bite/Fight, Chase",Cage 2,3,"Flee, Subordinate posture",,,
10/24/2019 12:06:07,Cage 2,Cage 3,2,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:09:29,Cage 4,Cage 5,1,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:10:06,Cage 2,Cage 3,2,"Bite/Fight, Chase",Cage 2,3,Flee,,,
10/24/2019 12:11:29,Cage 2,Cage 3,2,"Lunge, Bite/Fight, Chase",Cage 2,3,Flee,,,
10/24/2019 12:12:15,Cage 1,Cage 5,3,Sniff,Cage 1,1,Subordinate posture,,,
10/24/2019 12:13:48,Cage 2,Cage 3,2,"Bite/Fight, Chase",Cage 1,2,"Flee, Subordinate posture",,,
10/24/2019 12:15:39,Cage 2,Cage 3,2,Bite/Fight,Cage 1,2,"Flee, Subordinate posture",,,
10/24/2019 12:16:04,Cage 4,Cage 5,1,Bite/Fight,Cage 1,3,"Flee, Freeze/immobility",,,
10/24/2019 12:16:40,Cage 1,Cage 5,3,"Bite/Fight, Sniff",Cage 1,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:23:16,Cage 5,Cage 4,3,Bite/Fight,Cage 4,2,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:24:15,Cage 1,Cage 3,4,"Bite/Fight, Sniff",Cage 1,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:25:32,Cage 4,Cage 5,1,"Bite/Fight, Mount",Cage 2,1,"Flee, Freeze/immobility",,,
10/24/2019 12:26:09,Cage 1,Cage 5,3,"Bite/Fight, Allogroom",Cage 3,4,Freeze/immobility,,,
10/24/2019 12:26:44,Cage 4,Cage 5,1,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:28:15,Cage 1,Cage 2,2,Sniff,Cage 5,3,Walk away,,,
10/24/2019 12:29:30,Cage 4,Cage 5,1,"Bite/Fight, Chase",Cage 3,1,Flee,,,
10/24/2019 12:30:50,Cage 4,Cage 5,1,"Chase, Mount",Cage 1,3,"Flee, Freeze/immobility",,,
10/24/2019 12:32:05,Cage 4,Cage 5,1,Bite/Fight,Cage 3,1,Subordinate posture,,,
10/24/2019 12:33:07,Cage 3,Cage 5,2,"Bite/Fight, Mount",Cage 2,4,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:34:08,Cage 3,Cage 5,2,"Bite/Fight, Mount",Cage 2,4,"Flee, Freeze/immobility",,,
10/24/2019 12:36:21,Cage 3,Cage 5,2,Bite/Fight,Cage 2,4,Freeze/immobility,,,
10/24/2019 12:36:57,Cage 1,Cage 2,2,Bite/Fight,Cage 1,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:37:32,Cage 3,Cage 5,2,"Lunge, Bite/Fight",Cage 1,4,"Flee, Freeze/immobility",,,
10/24/2019 12:37:47,Cage 3,Cage 5,2,"Bite/Fight, Chase",Cage 3,3,"Flee, Subordinate posture",,,
10/24/2019 12:40:27,Cage 3,Cage 5,2,Bite/Fight,Cage 3,3,Freeze/immobility,,,
10/24/2019 12:40:50,Cage 4,Cage 5,1,Bite/Fight,Cage 1,3,Freeze/immobility,,,
10/24/2019 12:41:14,Cage 4,Cage 5,1,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:43:07,Cage 2,Cage 3,2,"Lunge, Bite/Fight",Cage 2,3,"Flee, Subordinate posture",,,
10/24/2019 12:43:34,Cage 3,Cage 5,2,"Bite/Fight, Chase",Cage 3,3,"Flee, Freeze/immobility",,,
10/24/2019 12:44:31,Cage 3,Cage 5,2,Bite/Fight,Cage 3,3,"Subordinate posture, Freeze/immobility",,,
10/24/2019 12:46:03,Cage 3,Cage 5,2,"Bite/Fight, Chase",Cage 3,3,"Flee, Freeze/immobility",5-2 lots of tail raddling (?),,
