batch ,precage ,preid,wt_d4,wt_d8,wt_12 ,T_reorganization,T_sac ,HoursRearranged 
6,5,1,38.2,39,,9:30,11:00,25
6,5,2,43.5,42.8,,9:30,11:00,25
6,5,3,38.4,38.2,,9:30,11:00,25
6,5,4,34.4,35,,9:30,11:00,25
7,1,1,40.7,40.4,41.8,9:30,11:00,25
7,1,2,40.5,40.3,40.2,9:30,11:00,25
7,1,3,34.4,34.1,33,9:30,11:00,25
7,1,4,38.1,37.8,38.6,9:30,11:00,25
7,2,1,38.3,37.3,,9:30,11:00,25
7,2,2,38.9,38.4,,9:30,11:00,25
7,2,3,44.2,44.5,,9:30,11:00,25
7,2,4,35.7,34.4,,9:30,11:00,25
7,3,1,42.9,42.6,40.6,9:30,11:00,25
7,3,2,43.3,42.2,42.8,9:30,11:00,25
7,3,3,42.9,43.7,39.2,9:30,11:00,25
7,3,4,38.8,38.9,38.6,9:30,11:00,25
7,4,1,42.5,43,42.4,9:30,11:00,25
7,4,2,31.3,32.6,28.8,9:30,11:00,25
7,4,3,39.4,38.2,38.9,9:30,11:00,25
7,4,4,36.9,36.4,36.8,9:30,11:00,25
7,5,1,43,42.9,43.1,9:30,11:00,25
7,5,2,38.2,39.1,40.8,9:30,11:00,25
7,5,3,38.3,36.6,39.2,9:30,11:00,25
7,5,4,43.9,41.3,40.8,9:30,11:00,25
8,1,1,41.5,43.5,43.9,9:30,10:40,1
8,1,2,41.9,41.5,42.8,9:30,10:40,1
8,1,3,41.2,40.3,41.9,9:30,10:40,1
8,1,4,40.4,40.4,38.9,9:30,10:40,1
8,2,1,39.5,40.3,41.4,9:30,10:40,1
8,2,2,34.4,34.2,34.2,9:30,10:40,1
8,2,3,39.8,40.1,41.4,9:30,10:40,1
8,2,4,38.8,39,39.7,9:30,10:40,1
8,3,1,43.2,42,42.8,9:30,10:40,1
8,3,2,44,41.7,42.8,9:30,10:40,1
8,3,3,40.8,39.5,40.9,9:30,10:40,1
8,3,4,38.4,39,37.6,9:30,10:40,1
8,4,1,43.4,41.9,41.2,9:30,10:40,1
8,4,2,42.2,42.9,42.8,9:30,10:40,1
8,4,3,40.2,39.5,38.7,9:30,10:40,1
8,4,4,40.7,40.4,39.9,9:30,10:40,1
8,5,1,37.8,37.9,,9:30,10:40,1
8,5,2,39.9,38.9,,9:30,10:40,1
8,5,3,37.2,36.6,,9:30,10:40,1
8,5,4,40.2,39.6,,9:30,10:40,1
9,1,1,40.2,37.7,38.8,9:30,10:40,1
9,1,2,41.7,41.6,39.9,9:30,10:40,1
9,1,3,43.8,43.6,45.1,9:30,10:40,1
9,1,4,38.7,37.3,37.9,9:30,10:40,1
9,2,1,42.6,41.7,41.2,9:30,10:40,1
9,2,2,41.3,42.3,42.9,9:30,10:40,1
9,2,3,42.4,42.1,41.8,9:30,10:40,1
9,2,4,42.6,43,42.8,9:30,10:40,1
9,3,1,42.5,40.4,40.3,9:30,10:40,1
9,3,2,44.1,42.4,43.2,9:30,10:40,1
9,3,3,43.5,40.8,42.4,9:30,10:40,1
9,3,4,42,40.9,41.3,9:30,10:40,1
9,4,1,41.3,40.6,40.4,9:30,10:40,1
9,4,2,40.9,41.4,40.1,9:30,10:40,1
9,4,3,38.7,39,38.2,9:30,10:40,1
9,4,4,41.3,40.1,41.7,9:30,10:40,1
9,5,1,44.1,42.2,41.8,9:30,10:40,1
9,5,2,41,41.3,39.9,9:30,10:40,1
9,5,3,43.7,42.9,43,9:30,10:40,1
9,5,4,40.8,40.3,39.9,9:30,10:40,1
10,1,1,42.5,43.5,40.8,9:30,10:40,1
10,1,2,40.3,40.9,41,9:30,10:40,1
10,1,3,40.6,40.9,41.3,9:30,10:40,1
10,1,4,40.7,40.1,39.6,9:30,10:40,1
10,2,1,35.9,36.9,37.1,9:30,10:40,1
10,2,2,40.6,39.3,42.4,9:30,10:40,1
10,2,3,42.1,40.1,43,9:30,10:40,1
10,2,4,36.9,35.1,35.3,9:30,10:40,1
10,3,1,42.6,42.5,41.7,9:30,10:40,1
10,3,2,36.3,36.2,35.1,9:30,10:40,1
10,3,3,39.7,39.8,38.8,9:30,10:40,1
10,3,4,38.7,38.7,37.1,9:30,10:40,1
10,4,1,37.3,36.4,36.5,9:30,10:40,1
10,4,2,39.7,40.4,39.9,9:30,10:40,1
10,4,3,32.4,33.6,33.5,9:30,10:40,1
10,4,4,41.4,42.5,4.7,9:30,10:40,1
10,5,1,34.6,35,34.7,9:30,10:40,1
10,5,2,40.5,40.1,40.8,9:30,10:40,1
10,5,3,42.9,43.3,42.3,9:30,10:40,1
10,5,4,41.6,40.9,42.1,9:30,10:40,1
11,1,1,36,35.7,35.9,9:30,10:40,1
11,1,2,43.8,44,44.4,9:30,10:40,1
11,1,3,38.8,37.1,36.8,9:30,10:40,1
11,1,4,38.9,38.3,37.5,9:30,10:40,1
11,2,1,44.8,44.9,36,9:30,10:40,1
11,2,2,43.7,42,42.8,9:30,10:40,1
11,2,3,38.1,36.9,36.8,9:30,10:40,1
11,2,4,38.8,40.2,40,9:30,10:40,1
11,3,1,32.8,34.6,33.6,9:30,10:40,1
11,3,2,36.1,36.8,38.8,9:30,10:40,1
11,3,3,38.9,38.8,41.9,9:30,10:40,1
11,3,4,38.1,38,35.6,9:30,10:40,1
