Timestamp,Cage ,OG Cage Animal 1,Animal 1,Animal 1- Behavior,OG Cage Animal 2,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
11/21/2019 9:36:27,Cage 1,Cage 1,1,Lunge,Cage 1,1,Lunge,Tmm,Start ,
11/21/2019 9:38:42,Cage 1,Cage 4,1,Bite/Fight,Cage 1,4,Walk away,,,
11/21/2019 9:40:35,Cage 3,Cage 2,4,"Mount, Sniff",Cage 4,4,Freeze/immobility,,,
11/21/2019 9:41:45,Cage 1,Cage 2,1,Sniff,Cage 3,2,Walk away,,,
11/21/2019 9:42:05,Cage 1,Cage 2,1,Bite/Fight,Cage 3,2,"Subordinate posture, Freeze/immobility",,,
11/21/2019 9:42:40,Cage 1,Cage 2,1,"Bite/Fight, Chase",Cage 4,1,"Bite/Fight, Flee",,,
11/21/2019 9:43:09,Cage 2,Cage 4,3,Bite/Fight,Cage 2,3,Subordinate posture,,,
11/21/2019 9:43:33,Cage 4,Cage 3,4,Bite/Fight,Cage 2,2,Subordinate posture,,,
11/21/2019 9:44:00,Cage 4,Cage 3,4,Bite/Fight,Cage 4,2,Flee,,,
11/21/2019 9:44:19,Cage 1,Cage 4,1,Bite/Fight,Cage 1,4,Subordinate posture,,,
11/21/2019 9:44:45,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,"Bite/Fight, Subordinate posture",,,
11/21/2019 9:44:58,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,"Flee, Subordinate posture",,,
11/21/2019 9:46:00,Cage 4,Cage 3,4,Bite/Fight,Cage 4,2,Flee,Cage 1 is bloody.,,
11/21/2019 9:46:18,Cage 4,Cage 3,4,Bite/Fight,Cage 2,2,"Subordinate posture, Freeze/immobility",,,
11/21/2019 9:46:30,Cage 4,Cage 3,4,Bite/Fight,Cage 1,1,"Flee, Subordinate posture",,,
11/21/2019 9:46:47,Cage 2,Cage 3,3,Bite/Fight,Cage 1,3,Subordinate posture,,,
11/21/2019 9:47:08,Cage 4,Cage 3,4,Bite/Fight,Cage 2,2,"Flee, Subordinate posture, Freeze/immobility",,,
11/21/2019 9:47:29,Cage 4,Cage 3,4,Bite/Fight,Cage 1,1,"Flee, Freeze/immobility",,,
11/21/2019 9:47:44,Cage 1,Cage 2,1,Allogroom,Cage 1,4,Freeze/immobility,,,
11/21/2019 9:48:00,Cage 4,Cage 2,2,"Bite/Fight, Chase",Cage 1,1,"Flee, Freeze/immobility",,,
11/21/2019 9:48:19,Cage 3,Cage 2,4,Bite/Fight,Cage 4,4,Subordinate posture,,,
11/21/2019 9:48:30,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,"Flee, Subordinate posture, Freeze/immobility",,,
11/21/2019 9:48:49,Cage 3,Cage 2,4,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/21/2019 9:49:10,Cage 1,Cage 3,2,Bite/Fight,Cage 2,1,"Flee, Freeze/immobility",,,
11/21/2019 9:49:37,Cage 3,Cage 2,4,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/21/2019 9:49:54,Cage 4,Cage 2,2,"Bite/Fight, Chase",Cage 1,1,"Flee, Subordinate posture",,,
11/21/2019 9:50:16,Cage 4,Cage 2,2,"Bite/Fight, Chase",Cage 3,4,Flee,,,
11/21/2019 9:50:32,Cage 4,Cage 2,2,Bite/Fight,Cage 4,2,"Flee, Subordinate posture",,,
11/21/2019 9:50:46,Cage 4,Cage 3,4,Bite/Fight,Cage 4,2,Subordinate posture,,,
11/21/2019 9:51:01,Cage 4,Cage 2,2,"Lunge, Bite/Fight",Cage 3,4,Flee,,,
11/21/2019 9:51:16,Cage 4,Cage 2,2,"Bite/Fight, Chase",Cage 4,2,"Flee, Subordinate posture, Freeze/immobility",,,
11/21/2019 9:51:34,Cage 2,Cage 3,3,"Bite/Fight, Chase",Cage 1,3,"Flee, Subordinate posture",,,
11/21/2019 9:52:01,Cage 3,Cage 4,4,Mount,Cage 1,2,Freeze/immobility,,,
11/21/2019 9:52:17,Cage 3,Cage 4,4,Mount,Cage 2,4,Freeze/immobility,,,
11/21/2019 9:52:29,Cage 3,Cage 2,4,"Bite/Fight, Chase",Cage 4,4,Flee,,,
11/21/2019 9:53:57,Cage 2,Cage 3,3,Bite/Fight,Cage 1,3,Subordinate posture,,,
11/21/2019 9:55:09,Cage 1,Cage 2,1,"Bite/Fight, Sniff",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/21/2019 9:55:31,Cage 1,Cage 2,1,Bite/Fight,Cage 3,2,"Subordinate posture, Freeze/immobility",,,
11/21/2019 9:55:59,Cage 1,Cage 2,1,"Bite/Fight, Chase",Cage 1,4,"Flee, Subordinate posture, Freeze/immobility",,,
11/21/2019 9:56:45,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/21/2019 9:56:56,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,Freeze/immobility,,,
11/21/2019 9:57:06,Cage 1,Cage 2,1,"Lunge, Bite/Fight",Cage 3,2,Freeze/immobility,,,
11/21/2019 9:57:24,Cage 4,Cage 2,2,"Lunge, Bite/Fight",Cage 1,1,"Flee, Freeze/immobility",,,
11/21/2019 9:57:39,Cage 4,Cage 2,2,"Bite/Fight, Mount",Cage 1,1,"Flee, Freeze/immobility",,,
11/21/2019 9:57:56,Cage 4,Cage 2,2,"Lunge, Bite/Fight",Cage 4,2,Freeze/immobility,,,
11/21/2019 9:58:39,Cage 4,Cage 2,2,"Bite/Fight, Chase",Cage 1,1,"Flee, Subordinate posture",,,
11/21/2019 9:59:32,Cage 4,Cage 4,2,Bite/Fight,Cage 1,1,Freeze/immobility,,,
11/21/2019 10:00:49,Cage 2,Cage 2,3,Bite/Fight,Cage 3,3,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:01:32,Cage 4,Cage 4,2,Bite/Fight,Cage 1,1,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:01:54,Cage 3,Cage 2,4,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:02:29,Cage 3,Cage 4,4,Bite/Fight,Cage 2,4,"Bite/Fight, Walk away",,,
11/21/2019 10:02:47,Cage 3,Cage 2,4,Bite/Fight,Cage 1,2,Freeze/immobility,,,
11/21/2019 10:04:05,Cage 4,Cage 2,2,Bite/Fight,Cage 1,1,Flee,,,
11/21/2019 10:04:17,Cage 2,Cage 3,3,Bite/Fight,Cage 1,3,"Flee, Subordinate posture",,,
11/21/2019 10:04:47,Cage 4,Cage 4,2,Bite/Fight,Cage 1,1,Freeze/immobility,,,
11/21/2019 10:05:40,Cage 2,Cage 4,3,Bite/Fight,Cage 1,3,Freeze/immobility,,,
11/21/2019 10:05:51,Cage 4,Cage 2,2,"Bite/Fight, Chase",Cage 1,1,"Flee, Freeze/immobility",,,
11/21/2019 10:06:31,Cage 4,Cage 2,2,Bite/Fight,Cage 3,4,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:06:57,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,Flee,,,
11/21/2019 10:07:14,Cage 1,Cage 2,1,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:07:30,Cage 3,Cage 2,4,Bite/Fight,Cage 4,4,Freeze/immobility,,,
11/21/2019 10:07:44,Cage 4,Cage 4,2,Bite/Fight,Cage 1,1,Freeze/immobility,,,
11/21/2019 10:08:27,Cage 3,Cage 4,4,Bite/Fight,Cage 1,2,Freeze/immobility,,,
11/21/2019 10:08:48,Cage 4,Cage 2,2,"Lunge, Bite/Fight",Cage 4,2,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:09:57,Cage 4,Cage 2,2,"Lunge, Bite/Fight",Cage 3,4,"Flee, Freeze/immobility",,,
11/21/2019 10:10:17,Cage 4,Cage 2,2,"Bite/Fight, Chase",Cage 4,2,Flee,,,
11/21/2019 10:10:57,Cage 3,Cage 2,4,"Sniff, Allogroom",Cage 1,2,Freeze/immobility,,,
11/21/2019 10:11:23,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:11:47,Cage 4,Cage 2,2,"Lunge, Bite/Fight",Cage 4,2,Freeze/immobility,,,
11/21/2019 10:12:34,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:12:47,Cage 4,Cage 2,2,Bite/Fight,Cage 4,2,Subordinate posture,,,
11/21/2019 10:13:15,Cage 3,Cage 4,4,"Chase, Mount",Cage 1,2,"Flee, Freeze/immobility",,,
11/21/2019 10:13:39,Cage 3,Cage 4,4,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:14:01,Cage 3,Cage 4,4,Bite/Fight,Cage 2,4,"Bite/Fight, Flee",,,
11/21/2019 10:14:41,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:15:09,Cage 2,Cage 2,3,"Bite/Fight, Chase",Cage 3,3,Flee,,,
11/21/2019 10:15:37,Cage 4,Cage 2,2,"Lunge, Bite/Fight",Cage 4,2,Freeze/immobility,,,
11/21/2019 10:15:49,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,"Flee, Subordinate posture",,,
11/21/2019 10:16:13,Cage 4,Cage 2,2,"Lunge, Bite/Fight, Chase",Cage 4,2,"Flee, Freeze/immobility",,,
11/21/2019 10:16:40,Cage 4,Cage 4,2,Bite/Fight,Cage 1,1,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:17:08,Cage 2,Cage 3,3,"Bite/Fight, Sniff",Cage 1,3,Subordinate posture,,,
11/21/2019 10:17:30,Cage 2,Cage 3,3,"Bite/Fight, Chase",Cage 4,3,"Flee, Subordinate posture",,,
11/21/2019 10:17:48,Cage 2,Cage 2,3,Bite/Fight,Cage 1,3,Subordinate posture,,,
11/21/2019 10:18:39,Cage 4,Cage 2,2,Bite/Fight,Cage 4,2,Freeze/immobility,,,
11/21/2019 10:18:56,Cage 3,Cage 2,4,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:19:17,Cage 4,Cage 2,2,Bite/Fight,Cage 3,4,"Flee, Freeze/immobility",,,
11/21/2019 10:19:28,Cage 4,Cage 2,2,"Lunge, Bite/Fight",Cage 1,1,Subordinate posture,,,
11/21/2019 10:19:58,Cage 4,Cage 2,2,"Lunge, Chase",Cage 4,2,"Flee, Subordinate posture",,,
11/21/2019 10:20:32,Cage 2,Cage 3,3,Lunge,Cage 1,3,Subordinate posture,,,
11/21/2019 10:21:22,Cage 1,Cage 2,1,"Bite/Fight, Sniff",Cage 4,1,"Flee, Subordinate posture, Freeze/immobility",,,
11/21/2019 10:23:20,Cage 4,Cage 3,4,Bite/Fight,Cage 1,1,Freeze/immobility,,,
11/21/2019 10:24:10,Cage 4,Cage 2,2,"Bite/Fight, Chase",Cage 3,4,Flee,,,
11/21/2019 10:24:34,Cage 4,Cage 2,2,Bite/Fight,Cage 1,1,Freeze/immobility,,,
11/21/2019 10:25:46,Cage 2,Cage 2,3,"Sniff, Allogroom",Cage 1,3,"Subordinate posture, Freeze/immobility",,,
11/21/2019 10:26:12,Cage 1,Cage 2,1,Bite/Fight,Cage 3,2,Flee,,,
11/21/2019 10:26:51,Cage 4,Cage 2,2,"Lunge, Bite/Fight, Chase",Cage 4,2,"Flee, Freeze/immobility",,,
11/21/2019 10:27:10,Cage 1,Cage 2,1,Bite/Fight,Cage 4,1,"Flee, Subordinate posture",,,
11/21/2019 10:27:23,Cage 1,Cage 2,1,"Lunge, Bite/Fight",Cage 4,1,Freeze/immobility,,,
