Timestamp,Cage,Animal 1,Animal 1- Behavior,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
11/29/2019 14:58:51,Cage 1,1,Lunge,1,Lunge,Tmm,Start,
11/29/2019 14:58:59,Cage 5,3,"Lunge, Bite/Fight",2,Flee,,,
11/29/2019 15:00:47,Cage 3,4,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:02:54,Cage 5,2,Sniff,1,Subordinate posture,,,
11/29/2019 15:03:04,Cage 5,2,Bite/Fight,4,Freeze/immobility,,,
11/29/2019 15:03:11,Cage 5,3,"Lunge, Bite/Fight",2,Freeze/immobility,,,
11/29/2019 15:03:36,Cage 2,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:03:52,Cage 3,4,"Bite/Fight, Chase",2,"Flee, Subordinate posture",,,
11/29/2019 15:04:45,Cage 5,3,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:04:54,Cage 1,3,"Bite/Fight, Chase",1,"Flee, Freeze/immobility",,,
11/29/2019 15:08:39,Cage 3,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:09:43,Cage 1,4,Bite/Fight,2,Freeze/immobility,,,
11/29/2019 15:10:01,Cage 3,4,Bite/Fight,3,Freeze/immobility,,,
11/29/2019 15:10:31,Cage 1,3,"Bite/Fight, Chase",2,"Flee, Freeze/immobility",,,
11/29/2019 15:10:44,Cage 1,3,Bite/Fight,2,Freeze/immobility,,,Yes
11/29/2019 15:11:02,Cage 5,3,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:11:10,Cage 5,3,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:13:34,Cage 5,3,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:13:41,Cage 5,3,Lunge,4,Subordinate posture,,,
11/29/2019 15:14:16,Cage 2,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:14:36,Cage 4,4,Bite/Fight,2,Freeze/immobility,,,
11/29/2019 15:14:45,Cage 4,4,"Lunge, Bite/Fight",1,Subordinate posture,,,Yes
11/29/2019 15:17:30,Cage 5,3,"Lunge, Bite/Fight",2,"Flee, Freeze/immobility",,,
11/29/2019 15:17:45,Cage 2,4,Bite/Fight,1,Freeze/immobility,,,
11/29/2019 15:18:15,Cage 2,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:18:32,Cage 2,4,Bite/Fight,3,Subordinate posture,,,
11/29/2019 15:19:50,Cage 3,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:20:07,Cage 2,4,"Bite/Fight, Chase",1,"Flee, Freeze/immobility",,,
11/29/2019 15:20:34,Cage 2,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:21:54,Cage 5,3,Bite/Fight,4,Freeze/immobility,,,Yes
11/29/2019 15:23:11,Cage 2,4,"Bite/Fight, Chase",3,"Flee, Freeze/immobility",,,
11/29/2019 15:23:37,Cage 2,4,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:24:17,Cage 2,4,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:29:13,Cage 2,4,Bite/Fight,2,Freeze/immobility,,,
11/29/2019 15:29:29,Cage 2,4,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:33:26,Cage 2,4,Bite/Fight,3,Subordinate posture,,,
11/29/2019 15:33:37,Cage 1,4,Bite/Fight,2,Freeze/immobility,,,
11/29/2019 15:34:08,Cage 1,4,"Bite/Fight, Chase",1,"Flee, Freeze/immobility",,,
11/29/2019 15:35:08,Cage 3,4,Lunge,3,Subordinate posture,,,
11/29/2019 15:37:30,Cage 5,3,"Lunge, Bite/Fight",4,Flee,,,
11/29/2019 15:37:49,Cage 5,3,Lunge,4,Subordinate posture,,,
11/29/2019 15:38:57,Cage 2,4,Bite/Fight,3,Freeze/immobility,,,
11/29/2019 15:39:07,Cage 2,4,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:41:00,Cage 1,4,"Bite/Fight, Chase",2,"Flee, Freeze/immobility",,,
11/29/2019 15:43:40,Cage 3,4,"Bite/Fight, Chase",3,"Flee, Subordinate posture",,,
11/29/2019 15:46:37,Cage 4,4,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:46:52,Cage 5,3,Bite/Fight,2,Flee,,,
11/29/2019 15:47:16,Cage 2,4,"Lunge, Bite/Fight",3,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:48:16,Cage 5,3,"Bite/Fight, Chase",4,"Flee, Subordinate posture",,,
11/29/2019 15:48:23,Cage 5,3,"Lunge, Bite/Fight",1,Freeze/immobility,,,
11/29/2019 15:48:46,Cage 5,3,"Lunge, Bite/Fight",4,"Flee, Freeze/immobility",,,
11/29/2019 15:50:11,Cage 4,4,Bite/Fight,1,Freeze/immobility,,,
11/29/2019 15:50:34,Cage 5,3,Bite/Fight,2,"Flee, Freeze/immobility",,,
11/29/2019 15:50:54,Cage 1,4,"Bite/Fight, Chase",2,"Flee, Freeze/immobility",,,
11/29/2019 15:51:41,Cage 4,4,"Lunge, Bite/Fight",2,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:51:48,Cage 4,4,Lunge,3,Subordinate posture,,,
11/29/2019 15:53:10,Cage 5,3,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:53:33,Cage 4,4,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/29/2019 15:54:04,Cage 2,4,"Lunge, Bite/Fight",2,Freeze/immobility,,,
11/29/2019 15:57:11,Cage 1,3,"Bite/Fight, Chase",2,Flee,,,
11/29/2019 15:58:04,Cage 5,3,"Lunge, Bite/Fight",1,"Flee, Subordinate posture",,,
11/29/2019 15:58:47,Cage 1,3,"Lunge, Bite/Fight",1,Freeze/immobility,,,
11/29/2019 15:59:01,Cage 1,3,"Bite/Fight, Chase",1,Flee,,,
11/29/2019 15:59:34,Cage 1,1,Lunge,1,Lunge,Tmm,End,
11/29/2019 15:59:49,Cage 1,1,Lunge,1,Lunge,Tmm,Start,
11/29/2019 16:07:43,Cage 5,3,Sniff,1,"Subordinate posture, Freeze/immobility",,,
11/29/2019 16:13:57,Cage 1,1,Sniff,4,Walk away,,,
11/29/2019 16:14:44,Cage 1,3,"Bite/Fight, Chase",4,"Flee, Subordinate posture",,,
11/29/2019 16:15:50,Cage 1,3,"Bite/Fight, Chase",4,"Flee, Subordinate posture",,,
11/29/2019 16:21:08,Cage 1,3,Bite/Fight,4,Freeze/immobility,,,
11/29/2019 16:21:28,Cage 1,3,Allogroom,2,N/A,,,Yes
11/29/2019 16:22:55,Cage 1,3,Bite/Fight,4,"Flee, Freeze/immobility",,,
11/29/2019 16:23:55,Cage 3,4,Bite/Fight,3,Freeze/immobility,,,
11/29/2019 16:28:03,Cage 5,3,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/29/2019 16:28:11,Cage 5,3,"Bite/Fight, Chase",4,"Flee, Freeze/immobility",,,
11/29/2019 16:28:46,Cage 3,4,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
