Timestamp,Cage,Animal 1,Animal 1- Behavior,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
11/15/2019 14:08:57,Cage 1,1,Lunge,1,Lunge,Tmm,Start,
11/15/2019 14:09:33,Cage 3,2,Bite/Fight,3,Freeze/immobility,,,
11/15/2019 14:11:08,Cage 1,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
11/15/2019 14:11:58,Cage 1,2,Bite/Fight,3,"Flee, Freeze/immobility",,,
11/15/2019 14:14:04,Cage 2,1,Sniff,4,N/A,,,
11/15/2019 14:14:25,Cage 3,2,Bite/Fight,4,Freeze/immobility,,,
11/15/2019 14:16:40,Cage 4,1,Chase,3,Freeze/immobility,,,
11/15/2019 14:17:01,Cage 1,2,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,
11/15/2019 14:21:07,Cage 4,1,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/15/2019 14:21:55,Cage 3,2,"Lunge, Bite/Fight",4,"Flee, Subordinate posture, Freeze/immobility",,,
11/15/2019 14:22:42,Cage 1,2,Bite/Fight,4,Freeze/immobility,,,
11/15/2019 14:25:03,Cage 1,2,Bite/Fight,4,"Flee, Freeze/immobility",,,
11/15/2019 14:26:06,Cage 3,2,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
11/15/2019 14:28:43,Cage 1,2,"Bite/Fight, Mount",4,"Subordinate posture, Freeze/immobility",,,
11/15/2019 14:29:08,Cage 4,1,"Bite/Fight, Chase",2,"Flee, Subordinate posture",,,
11/15/2019 14:29:17,Cage 2,2,Bite/Fight,4,Freeze/immobility,,,
11/15/2019 14:30:29,Cage 1,2,"Lunge, Bite/Fight",4,Freeze/immobility,,,
11/15/2019 14:31:39,Cage 1,2,Bite/Fight,4,Freeze/immobility,,,
11/15/2019 14:32:55,Cage 3,2,Lunge,3,Subordinate posture,,,
11/15/2019 14:37:01,Cage 1,2,Mount,4,Freeze/immobility,,,
11/15/2019 14:37:45,Cage 4,1,"Lunge, Sniff",2,"Subordinate posture, Freeze/immobility",,,
11/15/2019 14:38:30,Cage 3,2,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
11/15/2019 14:39:24,Cage 3,2,Bite/Fight,4,Freeze/immobility,,,
11/15/2019 14:39:35,Cage 3,2,"Bite/Fight, Sniff",3,"Flee, Subordinate posture",,,
11/15/2019 14:45:14,Cage 2,2,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,
11/15/2019 14:45:37,Cage 2,2,"Bite/Fight, Chase",4,"Flee, Subordinate posture, Freeze/immobility",,,
11/15/2019 14:45:47,Cage 2,1,"Lunge, Bite/Fight",2,"Subordinate posture, Freeze/immobility",,,
11/15/2019 14:47:16,Cage 3,3,Mount,1,Freeze/immobility,,,
11/15/2019 14:51:56,Cage 2,1,Bite/Fight,2,"Flee, Subordinate posture",,,
11/15/2019 14:53:51,Cage 3,3,"Lunge, Bite/Fight",4,Flee,,,
11/15/2019 14:55:30,Cage 2,1,"Lunge, Bite/Fight",2,"Flee, Freeze/immobility",,,
