Timestamp,Cage,Animal 1,Animal 1- Behavior,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
1/12/2020 12:00:23,Cage 1,1,Lunge,1,Lunge,Tmm ,Start,
1/12/2020 12:07:20,Cage 2,4,Bite/Fight,3,Freeze/immobility,,,
1/12/2020 12:14:26,Cage 5,3,Bite/Fight,4,Freeze/immobility,,,
1/12/2020 12:17:45,Cage 2,1,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
1/12/2020 12:18:43,Cage 5,3,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/12/2020 12:23:01,Cage 2,4,"Lunge, Mount",3,Freeze/immobility,,,
1/12/2020 12:25:24,Cage 5,2,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/12/2020 12:26:03,Cage 4,3,Mount,1,Freeze/immobility,,,
1/12/2020 12:26:44,Cage 5,3,Bite/Fight,2,"Flee, Freeze/immobility",,,
1/12/2020 12:29:20,Cage 3,4,"Lunge, Mount",1,Freeze/immobility,,,
1/12/2020 12:36:56,Cage 4,2,Mount,1,Freeze/immobility,,,
1/12/2020 12:48:10,Cage 5,3,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/12/2020 12:56:34,Cage 4,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/12/2020 12:57:04,Cage 5,4,Bite/Fight,2,Freeze/immobility,,,
1/12/2020 13:00:16,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/13/2020 13:05:44,Cage 1,1,Lunge,1,Lunge,Tmm,Start,
1/13/2020 13:12:54,Cage 4,3,Mount,2,Freeze/immobility,,,
1/13/2020 13:19:38,Cage 5,4,Sniff,1,Sniff,,,
1/13/2020 13:20:24,Cage 4,3,Mount,1,Freeze/immobility,,,
1/13/2020 13:23:52,Cage 2,3,Sniff,2,Walk away,,,
1/13/2020 13:24:17,Cage 1,4,"Lunge, Chase",3,Flee,,,
1/13/2020 13:28:13,Cage 2,3,Allogroom,2,N/A,,,
1/13/2020 13:37:23,Cage 1,4,Chase,3,Flee,,,
1/13/2020 13:47:19,Cage 5,3,Sniff,4,"Subordinate posture, Freeze/immobility",,,
1/13/2020 13:49:06,Cage 5,3,Bite/Fight,4,Freeze/immobility,,,
1/13/2020 13:50:47,Cage 3,4,Allogroom,1,"Subordinate posture, Freeze/immobility",,,
1/13/2020 13:52:52,Cage 4,3,"Lunge, Mount",2,Freeze/immobility,,,
1/13/2020 13:57:57,Cage 2,2,Allogroom,3,N/A,,,
1/13/2020 14:00:19,Cage 2,2,Allogroom,3,Freeze/immobility,,,
1/13/2020 14:01:31,Cage 5,2,Bite/Fight,1,"Flee, Freeze/immobility",,,
1/13/2020 14:05:28,Cage 5,3,"Lunge, Bite/Fight",2,Freeze/immobility,,,
1/13/2020 14:05:38,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/13/2020 16:00:57,Cage 1,1,Lunge,1,Lunge,Tmm ,Start,
1/13/2020 16:01:37,Cage 5,3,Lunge,2,Freeze/immobility,,,
1/13/2020 16:01:58,Cage 4,3,Allogroom,4,N/A,,,
1/13/2020 16:02:46,Cage 5,2,"Bite/Fight, Chase",1,"Flee, Freeze/immobility",,,
1/13/2020 16:06:45,Cage 2,4,Bite/Fight,3,Freeze/immobility,,,
1/13/2020 16:07:03,Cage 2,4,Bite/Fight,3,Freeze/immobility,,,
1/13/2020 16:09:44,Cage 5,3,Sniff,1,Walk away,,,
1/13/2020 16:10:45,Cage 2,2,Allogroom,1,N/A,,,
1/13/2020 16:15:03,Cage 5,4,"Lunge, Chase",1,Flee,,,
1/13/2020 16:16:47,Cage 1,2,Allogroom,1,Freeze/immobility,,,
1/13/2020 16:20:13,Cage 5,4,"Bite/Fight, Mount",1,"Subordinate posture, Freeze/immobility",,,
1/13/2020 16:24:38,Cage 5,4,"Bite/Fight, Mount",1,"Subordinate posture, Freeze/immobility",,,
1/13/2020 16:25:35,Cage 4,3,Mount,2,Freeze/immobility,,,
1/13/2020 16:26:44,Cage 1,4,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
1/13/2020 16:27:01,Cage 1,4,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
1/13/2020 16:28:25,Cage 4,3,"Lunge, Mount",1,Freeze/immobility,,,
1/13/2020 16:33:52,Cage 5,3,Bite/Fight,2,Freeze/immobility,,,
1/13/2020 16:35:30,Cage 1,3,"Bite/Fight, Chase",1,"Flee, Freeze/immobility",,,
1/13/2020 16:36:16,Cage 1,3,"Lunge, Bite/Fight",1,Freeze/immobility,,,
1/13/2020 16:36:22,Cage 1,4,Bite/Fight,3,Freeze/immobility,,,
1/13/2020 16:36:36,Cage 1,4,"Bite/Fight, Mount",3,"Subordinate posture, Freeze/immobility",,,
1/13/2020 16:37:02,Cage 1,4,Bite/Fight,2,Freeze/immobility,,,
1/13/2020 16:37:13,Cage 1,2,Allogroom,3,N/A,,,
1/13/2020 16:40:57,Cage 2,3,"Lunge, Bite/Fight",2,Freeze/immobility,,,
1/13/2020 16:42:21,Cage 4,3,Mount,1,Freeze/immobility,,,
1/13/2020 16:45:33,Cage 4,3,"Lunge, Bite/Fight",2,Freeze/immobility,,,
1/13/2020 16:46:43,Cage 4,3,Mount,1,Freeze/immobility,,,
1/13/2020 16:48:33,Cage 4,3,Mount,1,Freeze/immobility,,,
1/13/2020 16:50:51,Cage 4,4,Bite/Fight,1,Freeze/immobility,,,
1/13/2020 16:51:35,Cage 2,2,Sniff,1,Walk away,,,
1/13/2020 16:51:55,Cage 5,3,Bite/Fight,2,Freeze/immobility,,,
1/13/2020 16:52:38,Cage 4,2,Mount,1,"Flee, Freeze/immobility",,,
1/13/2020 16:52:44,Cage 4,3,"Lunge, Bite/Fight",2,"Subordinate posture, Freeze/immobility",,,
1/13/2020 16:54:06,Cage 2,1,Allogroom,2,N/A,,,
1/13/2020 16:55:31,Cage 5,2,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/13/2020 16:59:14,Cage 5,2,Bite/Fight,1,"Flee, Freeze/immobility",,,
1/13/2020 17:00:02,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/14/2020 10:01:44,Cage 1,1,Lunge,1,Lunge,Tmm ,Start,
1/14/2020 10:06:45,Cage 3,2,Chase,1,"Flee, Freeze/immobility",,,
1/14/2020 10:14:04,Cage 4,3,"Bite/Fight, Chase",4,Flee,,,
1/14/2020 10:18:38,Cage 2,4,Allogroom,1,N/A,,,
1/14/2020 10:20:10,Cage 1,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/14/2020 10:26:11,Cage 3,3,Mount,2,Freeze/immobility,,,
1/14/2020 10:29:14,Cage 5,3,Allogroom,1,Freeze/immobility,,,
1/14/2020 10:30:50,Cage 4,4,Bite/Fight,1,Freeze/immobility,,,
1/14/2020 10:31:56,Cage 5,2,"Bite/Fight, Chase",1,"Flee, Freeze/immobility",,,
1/14/2020 10:33:36,Cage 4,3,"Lunge, Sniff",4,Freeze/immobility,,,
1/14/2020 10:34:48,Cage 4,3,Mount,4,"Subordinate posture, Freeze/immobility",,,
1/14/2020 10:49:19,Cage 1,3,Bite/Fight,2,Freeze/immobility,,,
1/14/2020 10:58:26,Cage 4,3,Mount,1,Freeze/immobility,,,
