Well_ID,Name,Well,Dil,ABS_450,CONC,Count,Mean,Std_dev,CV,plate 
SPL21,b12 4-2 pre,H7,,0.336,706.9698678,2,754.1585628,66.73489257,6.257131776,4
,,H8,,0.318,801.3472579,,,,,4
SPL22,b12 4-2,A9,,0.246,1453.361917,2,1405.917866,67.09602045,3.374596213,4
,,A10,,0.253,1358.473815,,,,,4
SPL23,b12 1-2 pre,B9,,0.223,1857.873972,2,1716.860263,199.4234999,8.213464552,4
,,B10,,0.238,1575.846554,,,,,4
SPL24,b12 1-2,C9,,0.273,1135.895217,2,1216.289616,113.6948496,6.609807243,4
,,C10,,0.258,1296.684015,,,,,4
SPL25,b11 1-3 pre,D9,,0.306,874.5393988,2,891.2379979,23.61538528,1.873640836,4
,,D10,,0.301,907.9365969,,,,,4
SPL26,b11 1-3,E9,,0.165,4803.407447,2,4584.985147,308.8957783,9.326,4
,,E10,,0.169,4366.562848,,,,,4
SPL27,b11 4-4 pre,F9,,0.274,1126.305685,2,1065.25202,86.34292083,5.731382217,4
,,F10,,0.288,1004.198355,,,,,4
SPL28,b11 4-4,G9,,0.19,2916.989211,2,3073.919439,221.9328567,5.105216028,4
,,G10,,0.184,3230.849667,,,,,4
SPL29,b1 2-2 pre,H9,,0.311,842.9115988,2,923.5549769,114.0469589,8.731843806,4
,,H10,,0.288,1004.198355,,,,,4
SPL30,b1 2-2,A11,,0.442,366.7984642,2,333.8487001,46.59800327,9.86966973,4
,,A12,,0.476,300.898936,,,,,4
STD1,,C1,5000,0.156,>5249.023,2,?????,?????,?????,4
,,C2,5000,0.161,>5249.023,,,,,4
STD2,,D1,2500,0.202,2430.642086,2,2238.089194,272.3109116,8.60345033,4
,,D2,2500,0.215,2045.536302,,,,,4
STD3,,E1,1250,0.26,1273.223329,2,1335.545546,88.13692489,4.666423953,4
,,E2,1250,0.25,1397.867763,,,,,4
STD4,,F1,625,0.351,639.6708027,2,631.4303672,11.65373566,1.305042636,4
,,F2,625,0.355,623.1899317,,,,,4
STD5,,G1,312.5,0.476,300.898936,2,308.0681046,10.13873541,2.327137557,4
,,G2,312.5,0.468,315.2372731,,,,,4
STD6,,H1,156.25,0.567,174.1541986,2,163.0527845,15.69977031,6.808478668,4
,,H2,156.25,0.588,151.9513705,,,,,4
