Timestamp,Cage,Animal 1,Animal 1- Behavior,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
11/8/2019 14:00:51,Cage 1,1,Lunge,1,Lunge,Tmm,Start,
11/8/2019 14:03:03,Cage 1,4,Chase,2,"Flee, Subordinate posture",,,
11/8/2019 14:04:23,Cage 2,1,Bite/Fight,2,Freeze/immobility,,,
11/8/2019 14:04:41,Cage 1,2,"Bite/Fight, Chase",1,Flee,,,
11/8/2019 14:05:33,Cage 2,1,Bite/Fight,2,"Flee, Freeze/immobility",,,
11/8/2019 14:06:59,Cage 1,4,Bite/Fight,3,"Flee, Freeze/immobility",,,
11/8/2019 14:07:48,Cage 1,4,Bite/Fight,3,Freeze/immobility,,,
11/8/2019 14:09:55,Cage 1,4,Bite/Fight,2,"Flee, Subordinate posture",,,
11/8/2019 14:12:39,Cage 1,4,Bite/Fight,2,"Flee, Freeze/immobility",,,
11/8/2019 14:19:42,Cage 1,4,Lunge,1,"Flee, Freeze/immobility",,,
11/8/2019 14:21:17,Cage 1,4,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
11/8/2019 14:24:20,Cage 1,4,Bite/Fight,2,Freeze/immobility,,,
11/8/2019 14:51:59,Cage 1,4,"Lunge, Bite/Fight",1,Freeze/immobility,,,
11/8/2019 14:53:33,Cage 4,4,"Sniff, Allogroom",2,Sniff,,,
11/8/2019 15:00:49,Cage 1,1,Lunge,1,Lunge,Tmm,End,
11/8/2019 15:01:07,Cage 1,1,Lunge,1,Lunge,Tmm,Start,
11/8/2019 15:06:01,Cage 5,4,Lunge,3,Freeze/immobility,,,
11/8/2019 15:06:34,Cage 5,4,Bite/Fight,1,"Flee, Freeze/immobility",,,
11/8/2019 15:09:19,Cage 4,1,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,Yes
11/8/2019 15:09:36,Cage 3,4,"Sniff, Allogroom",2,Freeze/immobility,,,
11/8/2019 15:09:52,Cage 4,1,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:10:48,Cage 4,1,"Bite/Fight, Chase",2,"Flee, Freeze/immobility",,,
11/8/2019 15:11:20,Cage 5,4,Bite/Fight,1,Freeze/immobility,,,
11/8/2019 15:13:54,Cage 4,1,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:14:03,Cage 4,1,Bite/Fight,2,Subordinate posture,,,
11/8/2019 15:14:23,Cage 4,1,"Lunge, Bite/Fight",4,"Flee, Subordinate posture, Freeze/immobility",,,
11/8/2019 15:16:13,Cage 5,4,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:16:48,Cage 4,1,"Lunge, Bite/Fight",4,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:18:15,Cage 1,4,"Bite/Fight, Chase",2,"Flee, Freeze/immobility",,,
11/8/2019 15:18:48,Cage 2,1,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:18:56,Cage 4,1,Bite/Fight,3,Freeze/immobility,,,
11/8/2019 15:21:48,Cage 4,1,"Bite/Fight, Chase",3,"Flee, Freeze/immobility",,,
11/8/2019 15:22:02,Cage 5,4,Bite/Fight,1,Freeze/immobility,,,
11/8/2019 15:22:17,Cage 5,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:22:49,Cage 4,1,Bite/Fight,3,Freeze/immobility,,,
11/8/2019 15:23:01,Cage 4,1,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:23:47,Cage 1,4,"Lunge, Sniff",2,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:24:47,Cage 1,4,"Lunge, Bite/Fight",2,"Flee, Freeze/immobility",,,
11/8/2019 15:25:38,Cage 4,1,"Bite/Fight, Chase",4,"Flee, Freeze/immobility",,,
11/8/2019 15:25:47,Cage 2,1,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:26:42,Cage 4,1,"Bite/Fight, Chase",3,"Flee, Subordinate posture",,,
11/8/2019 15:26:51,Cage 4,1,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:29:02,Cage 1,4,"Lunge, Bite/Fight",2,"Subordinate posture, Freeze/immobility",,,
11/8/2019 15:29:52,Cage 2,1,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,
