"","symbol","dsub_logFC","dsub_pv","time","dd_logFC","dd_pv"
"299","Lmln",-0.419333264944908,0.0302,25,-0.422210849155318,0.0302
"300","Gm16523",0.358225902028663,0.0304,25,0.347111549921515,0.0322
"301","",0.434961693038166,0.0306,25,0.842980676896413,0
"830","Cbr3",0.43992590077731,0.033,25,0.787039648876965,0
"831","Plec",-0.253655964720721,0.0332,25,-0.262604679365568,0.0318
"832","Adam17",0.244781647933408,0.0332,25,0.329390166622863,0.0042
"833","Ctf2",0.263516963407938,0.0336,25,0.247513280017996,0.0432
"834","Vmn1r183",0.251953690555502,0.034,25,0.234674983168158,0.0476
"835","Lsm8",0.22858019178095,0.0342,25,0.221490462957199,0.0368
"836","Vmn1r77",0.405235481926105,0.0356,25,0.620514679079483,0.0016
"837","H1f3",0.374485066250937,0.0358,25,0.538779962585394,0.0042
"838","Ece2",0.378569617906271,0.036,25,0.561513289277392,0.0024
"839","Ptpn22",0.417641748749269,0.0376,25,0.39899457977477,0.0416
"840","Bag2",-0.565177059809995,0.0386,25,-0.7291817334774,0.0074
"841","Fam117b",-0.217517984766184,0.0388,25,-0.221899706766688,0.0398
"842","Olfr1271",0.399601910485828,0.039,25,0.377482191610863,0.0396
"843","Gadl1",0.361616497165762,0.0394,25,0.611653904817545,0.0012
"844","Mansc1",0.568207725322582,0.0402,25,0.604453894942879,0.0288
"845","Pyroxd2",-0.72013726514809,0.0402,25,-0.710123658410476,0.0422
"846","Dleu7",-0.407414151126645,0.0424,25,-0.595704026335375,0.0022
"847","Vmn2r31",0.517487233675896,0.0424,25,0.556443366148213,0.025
"848","Mcph1",-0.217402193521286,0.0434,25,-0.210524091281806,0.045
"849","Nrbf2",-0.311178814235486,0.0438,25,-0.323780568778055,0.0356
"850","Chd1",-0.20838273623298,0.0442,25,-0.220679379345444,0.0322
"851","Inf2",0.487953132559452,0.0448,25,0.537182340474423,0.0252
"852","Man1a2",-0.222194612815878,0.0472,25,-0.214559766650923,0.0492
"853","Chchd5",-0.549544334325051,0.0484,25,-0.774667215540358,0.005
"854","Polr3gl",0.259473205197284,0.049,25,0.290661937514149,0.0324
"855","Zfp738",0.206943198752688,0.0496,25,0.273941380153778,0.0092
