"symbol","as_logFC","as_pv","time","ds_logFC","ds_pv","regulated","condition"
"Sap18",0.293091761622376,0.005,70,0.337319649333351,0.0016,"up","TRN vs SUB"
"Prc1",-0.679239153310735,0.005,70,-0.440228999004675,0.0486,"down","TRN vs SUB"
"Zfp426",-0.326460447521168,0.005,70,-0.231034504196711,0.0406,"down","TRN vs SUB"
"Atp5g3",0.276621781583218,0.0052,70,0.203097505869088,0.0368,"up","TRN vs SUB"
"Arhgap31",-0.443903638490747,0.0054,70,-0.326205910988774,0.0254,"down","TRN vs SUB"
"Asns",0.271523181347773,0.0054,70,0.243264567697748,0.0148,"up","TRN vs SUB"
"Trib1",-0.651336719326308,0.0054,70,-0.507458527793942,0.0274,"down","TRN vs SUB"
"Btbd9",-0.344829202001751,0.0054,70,-0.272416109943147,0.0222,"down","TRN vs SUB"
"A2ml1",0.709728476274131,0.0056,70,0.550126570210289,0.0302,"up","TRN vs SUB"
"Tanc1",0.737246678374573,0.006,70,1.13377005717401,0,"up","TRN vs SUB"
"Txndc11",-0.270265104566517,0.0064,70,-0.202401293592267,0.0298,"down","TRN vs SUB"
"Vmn2r90",-0.618598614316708,0.0064,70,-0.519956258432262,0.0168,"down","TRN vs SUB"
"Cox6a1",0.261250003398562,0.0066,70,0.239449419383181,0.0162,"up","TRN vs SUB"
"Tut4",-0.248509968293056,0.0068,70,-0.267764261020076,0.0044,"down","TRN vs SUB"
"Npc1",-0.278912420319551,0.007,70,-0.207526535145677,0.0386,"down","TRN vs SUB"
"Tlcd1",0.457860562141421,0.0076,70,0.369193328516352,0.0308,"up","TRN vs SUB"
"Ift122",-0.279081024422323,0.0076,70,-0.26519358866541,0.0112,"down","TRN vs SUB"
"Nfia",0.284052287194866,0.0078,70,0.493454034356557,0,"up","TRN vs SUB"
"Slc7a4",0.295707399703934,0.008,70,0.274623679520101,0.0132,"up","TRN vs SUB"
"Odc1",0.271706836375788,0.0082,70,0.333025968631461,0.0012,"up","TRN vs SUB"
"Pikfyve",-0.281088897912801,0.0082,70,-0.275534314860124,0.0078,"down","TRN vs SUB"
"Gas2",0.455210987430552,0.0082,70,0.447199871616163,0.009,"up","TRN vs SUB"
"Ttr",2.26506463446068,0.0082,70,2.0562019851021,0.0196,"up","TRN vs SUB"
"Olfr1276",-0.649862808282753,0.0082,70,-0.45844270764984,0.0458,"down","TRN vs SUB"
"Kctd5",0.335775794750183,0.0086,70,0.256361456827739,0.0462,"up","TRN vs SUB"
"Fam13b",-0.33709810484136,0.0086,70,-0.29797565030576,0.016,"down","TRN vs SUB"
"Bbs4",-0.20589014175936,0.009,70,-0.203084716155068,0.008,"down","TRN vs SUB"
"Hsdl2",0.392195571519845,0.0092,70,0.414973358917913,0.0038,"up","TRN vs SUB"
"Tprn",0.540419282800124,0.0092,70,0.447421942483085,0.034,"up","TRN vs SUB"
"Rbm41",-0.441282503272407,0.0096,70,-0.351944573987415,0.0292,"down","TRN vs SUB"
"Rcn2",0.314725949672852,0.0096,70,0.233682788213186,0.043,"up","TRN vs SUB"
"Zbtb46",-0.457559079575313,0.01,70,-0.600334789557152,0.0026,"down","TRN vs SUB"
"Tbc1d1",-0.395392849243704,0.01,70,-0.43720025552672,0.005,"down","TRN vs SUB"
"Angptl4",0.636600544431399,0.0102,70,0.66091101039861,0.0052,"up","TRN vs SUB"
"Tm6sf1",-0.336249902196915,0.0104,70,-0.272830920308798,0.0304,"down","TRN vs SUB"
"Crtac1",0.595232906566313,0.0106,70,0.668552625104462,0.0044,"up","TRN vs SUB"
"Qdpr",0.311104853428276,0.011,70,0.297778881175133,0.0172,"up","TRN vs SUB"
"Lap3",0.328474358048052,0.011,70,0.297573994319939,0.023,"up","TRN vs SUB"
"Chka",-0.259053040309066,0.0112,70,-0.273058969559014,0.006,"down","TRN vs SUB"
"Cndp1",-0.391562411649192,0.0112,70,-0.361402343990922,0.014,"down","TRN vs SUB"
"Maged1",0.201621748750892,0.0116,70,0.209046776600687,0.0096,"up","TRN vs SUB"
"Ncf2",-0.380646730101519,0.0116,70,-0.32673520213563,0.027,"down","TRN vs SUB"
"Lzts3",-0.336381030112674,0.0116,70,-0.379620811428524,0.006,"down","TRN vs SUB"
"Nhsl1",0.322400868554317,0.0116,70,0.432556644004724,0.0012,"up","TRN vs SUB"
"Klhl4",0.599451626234296,0.0118,70,0.852119291295157,4e-04,"up","TRN vs SUB"
"Nans",0.376780497525012,0.0118,70,0.33920267753984,0.016,"up","TRN vs SUB"
"Klhl13",0.710030870045854,0.0118,70,1.02307384620159,8e-04,"up","TRN vs SUB"
"Runx2",-0.455007604444122,0.0118,70,-0.367194719858846,0.0338,"down","TRN vs SUB"
"Brca2",-0.247051902304544,0.0122,70,-0.305272021962209,6e-04,"down","TRN vs SUB"
"Brinp3",0.792777648017131,0.0124,70,0.976100707656041,0.0024,"up","TRN vs SUB"
"Vmn2r116",-0.417468950024489,0.0124,70,-0.349347972472394,0.0304,"down","TRN vs SUB"
"Plaat1",-0.342896707403572,0.0126,70,-0.351663651498587,0.01,"down","TRN vs SUB"
"Tspan12",0.524030605985757,0.0126,70,0.837850265304754,0,"up","TRN vs SUB"
"Vmn1r76",-0.47358084904135,0.0126,70,-0.476972434321416,0.0132,"down","TRN vs SUB"
"Swsap1",0.263493616051622,0.0128,70,0.207984010425428,0.0456,"up","TRN vs SUB"
"Rgs6",-0.383128543822981,0.013,70,-0.457033691431485,0.006,"down","TRN vs SUB"
"Gja1",0.335286926198695,0.0134,70,0.340420617409011,0.013,"up","TRN vs SUB"
"Rcor1",-0.278781474099435,0.0136,70,-0.261453972317973,0.0174,"down","TRN vs SUB"
"Olfr15",-0.349929050258481,0.0136,70,-0.392892879091096,0.0062,"down","TRN vs SUB"
"Slc25a34",0.642238366990706,0.0138,70,0.788134961314279,0.002,"up","TRN vs SUB"
"Olfr167",-0.53162409598689,0.0138,70,-0.540549250504717,0.0124,"down","TRN vs SUB"
"Atp1a3",0.516848260191425,0.014,70,0.426892946688826,0.044,"up","TRN vs SUB"
"Synpo",-0.222038627382176,0.014,70,-0.278429421897887,0.0036,"down","TRN vs SUB"
"2610001J05Rik",0.243099844569122,0.0142,70,0.223600984313924,0.0234,"up","TRN vs SUB"
"Krcc1",0.40487453896151,0.0142,70,0.355302306500506,0.037,"up","TRN vs SUB"
"Wdr46",0.389362750575833,0.0148,70,0.389687099127062,0.0108,"up","TRN vs SUB"
"Afap1l2",0.547615891955914,0.0148,70,0.482887473160726,0.0296,"up","TRN vs SUB"
"Bbs7",0.325676784899483,0.0148,70,0.271421593256949,0.0398,"up","TRN vs SUB"
"Simc1",-0.447923011578268,0.0148,70,-0.348090436244195,0.042,"down","TRN vs SUB"
