"","symbol","as_logFC","as_pv","time","adom_logFC","adom_pv"
"7289","Tspyl3",0.208706726785524,0.2048,70,0.214519830454124,0.1918
"7290","Pym1",-0.208410632857097,0.2052,70,-0.227741615421577,0.1888
"7291","Cdk6",-0.220536472508498,0.2056,70,-0.225717672594171,0.205
"7292","Slc1a7",-0.310287099563497,0.206,70,-0.318827649508938,0.2176
"7293","Emp3",-0.594708314290994,0.2068,70,-0.249380073848131,0.6246
"7294","Olfr633",-0.298375796962694,0.207,70,-0.454399037567195,0.051
"7295","Cfap46",-0.271940199832351,0.2074,70,-0.337629232844913,0.132
"7296","Vxn",0.229879800503362,0.2076,70,0.262526019049977,0.1514
"7297","Stk26",-0.648165073428265,0.2078,70,-0.657348774535144,0.2202
"7298","Arhgef5",-0.290880047927154,0.2078,70,-0.243456009188706,0.3114
"7299","Sox17",0.328731488930089,0.208,70,0.502045441312987,0.0684
"7300","Adat2",-0.719630477655146,0.2084,70,-0.546470215631222,0.352
"7301","Maml3",-0.263317728708527,0.2084,70,-0.34394610378384,0.1156
"7302","Selenbp1",-0.395203030669034,0.2084,70,-0.560852710703696,0.085
"7303","Rfx4",-0.261975102361281,0.2088,70,-0.30098433816497,0.1616
"7304","Serpinc1",-0.309906608380806,0.209,70,-0.328421503574496,0.2074
"7305","Zfp229",-0.291676198684768,0.2092,70,-0.205770307318653,0.407
"7306","Kif15",-0.225190227956978,0.2094,70,-0.428802227772035,0.0236
"7307","Mas1",0.241786562587332,0.2104,70,0.270232702098547,0.18
"7308","Tent5a",-0.272355973523005,0.2106,70,-0.401229331471042,0.074
"7309","L3mbtl4",-0.251839868571641,0.2126,70,-0.375024308217285,0.0762
"7310","Fermt3",-0.257550082611516,0.2128,70,-0.230954424048954,0.2886
"7311","Olfr1277",-0.208036091946247,0.2128,70,-0.235783107483937,0.1806
"7312","Fzd6",-0.232999687271154,0.215,70,-0.235351598256901,0.2332
