"","region","batch","post_idbatch","AggGiven70min","AggRec70min","mean_con_ng_ul","pre_idbatch","pre_idbatchcage","time","Postds","Postrank","Preds","Prerank","condition","wt_d4","wt_d8","wt_12","post_Ncort","condition1","SampleID"
"B14.2.2","AMY",14,"2-2Batch14",0,56,142.865668118802,"2Batch1","2Batch14Cage2","1 hr",-4.04761904761905,4,-5.35164835164835,4,"same",35.5,35.2,40.8,0.181005623859152,"SUB","B14.2.2"
"B12.4.2","AMY",12,"4-2Batch12",68,0,139.062318448956,"2Batch1","2Batch12Cage4","1 hr",2,1,-2.9517094017094,4,"ascenders",37.8,38.1,33.8,0.172361875943307,"ASC","B12.4.2"
"B9.4.1.","AMY",9,"4-1Batch9",0,45,211.12109488497,"1Batch9","1Batch9Cage4","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same",41.3,40.6,40.4,0.336127491178566,"SUB","B9.4.1."
"B14.3.4","AMY",14,"3-4Batch14",66,0,199.823866935203,"4Batch1","4Batch14Cage3","1 hr",3.45,1,4.7933352402746,1,"control",40,38.7,35.8,0.310452652149216,"CDOM","B14.3.4"
"B8.3.4.","AMY",8,"3-4Batch8",66,0,194.110094710067,"4Batch8","4Batch8Cage3","1 hr",5.54625199362042,1,5.86919191919192,1,"same",38.4,39,37.6,0.297467149618592,"DOM","B8.3.4."
"B12.3.1","AMY",12,"3-1Batch12",0,27,76.7234682503427,"1Batch1","1Batch12Cage3","1 hr",-1.91666666666667,4,-2.82142857142857,4,"control",38.3,35.8,38.8,0.0306864179246733,"CSUB","B12.3.1"
"B14.4.2","AMY",14,"4-2Batch14",0,32,149.906839683942,"2Batch1","2Batch14Cage4","1 hr",-1.12380952380952,4,5.82678271907158,1,"descenders",42.7,41.2,40.4,0.197007863286102,"DES","B14.4.2"
"B10.5.3","AMY",10,"5-3Batch10",15,43,413.059060773447,"3Batch1","3Batch10Cage5","1 hr",-2.96296296296296,4,5.76342592592593,1,"descenders",42.9,43.3,42.3,0.795065275841741,"DES","B10.5.3"
"B10.3.3","AMY",10,"3-3Batch10",58,59,503.232724218499,"3Batch1","3Batch10Cage3","1 hr",5.34245014245014,1,4.9508547008547,1,"same",39.7,39.8,38.8,1,"DOM","B10.3.3"
"B13.5.3","AMY",13,"5-3Batch13",15,0,94.3454232000456,"3Batch1","3Batch13Cage5","1 hr",3.28333333333333,1,5.01428571428571,1,"control",38.3,39.1,38.6,0.0707352563413051,"CDOM","B13.5.3"
"B9.2.2.","AMY",9,"2-2Batch9",8,0,112.407257272448,"2Batch9","2Batch9Cage2","1 hr",3.08333333333333,1,3.97069597069597,1,"control",41.3,42.3,42.9,0.111783793597148,"CDOM","B9.2.2."
"B8.2.2.","AMY",8,"2-2Batch8",0,56,329.876616791225,"2Batch8","2Batch8Cage2","1 hr",-1.01436781609195,4,-4.59464285714286,4,"same",34.4,34.2,34.2,0.606019266607635,"SUB","B8.2.2."
"B8.2.4.","AMY",8,"2-4Batch8",0,42,154.21837931401,"4Batch8","4Batch8Cage2","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders",38.8,39,39.7,0.206806557838684,"DES","B8.2.4."
"B11.2.3","AMY",11,"2-3Batch11",0,48,245.214919056076,"3Batch1","3Batch11Cage2","1 hr",-3.01704260651629,4,-3.61666666666667,4,"same",38.1,36.9,36.8,0.413611405938926,"SUB","B11.2.3"
"B14.3.1","AMY",14,"3-1Batch14",0,27,154.012951185335,"1Batch1","1Batch14Cage3","1 hr",-2.73095238095238,4,-2.82896965734494,4,"control",41.5,43.6,37.8,0.206339688075651,"CSUB","B14.3.1"
"B11.5.2","AMY",11,"5-2Batch11",36,0,112.56600060094,"2Batch1","2Batch11Cage5","1 hr",3.79166666666667,1,5.66195131301514,1,"control",32.8,31.8,31.8,0.112144564347648,"CDOM","B11.5.2"
