"symbol","DES_logFC","DES_pvalue","ASC_logFC","ASC_pvalue","contrast"
"Lcorl",0.624974152334447,0.0174,0.539801736788085,0.0372,"trans vs. same"
"Lcorl",0.624974152334447,0.0174,0.539801736788085,0.0372,"trans vs. same"
"Lcorl",0.624974152334447,0.0174,0.539801736788085,0.0372,"trans vs. same"
"Lcorl",0.624974152334447,0.0174,0.539801736788085,0.0372,"trans vs. same"
"Smpd3",0.349753681922357,0.0174,0.433184638195099,0.032,"trans vs. same"
"Lmo7",0.67753659566326,0.0174,0.80542910091083,0.005,"trans vs. same"
"Kcnj4",0.72707251603186,0.0176,0.60893337307078,0.035,"trans vs. same"
"Gm5176",0.803507204833886,0.019,0.417903673589582,0.0218,"trans vs. same"
"Olfr1247",0.399741936084372,0.0194,0.393880848707357,0.0442,"trans vs. same"
"Traip",0.594974933509873,0.0196,0.864589103780209,0.0204,"trans vs. same"
"Smpdl3b",1.64585887162827,0.02,0.889548700091912,0.0438,"trans vs. same"
"Zbtb1",0.317110983257404,0.0204,0.254379814560023,0.014,"trans vs. same"
"Kcnh4",1.35943085548803,0.0206,1.33437457946363,0.048,"trans vs. same"
"Plppr4",0.442826401189573,0.0206,0.435450386174378,0.0362,"trans vs. same"
"Ski",0.309763756824196,0.0212,0.411189965064538,0.0156,"trans vs. same"
"Carf",0.286358103916557,0.0218,0.292224609667425,0.011,"trans vs. same"
"Vmn1r181",0.594436884120564,0.022,0.446644125754463,0.0258,"trans vs. same"
"Olfr393",0.634442489389249,0.0224,0.523329353290164,0.0446,"trans vs. same"
"Adnp2",0.364176822392866,0.0226,0.295345434062357,0.0026,"trans vs. same"
"Vmn1r213",0.278583671328867,0.0226,0.375649352479285,0.0354,"trans vs. same"
"Lpl",0.673022025917731,0.0234,1.0652662430017,2e-04,"trans vs. same"
"Fam187b",0.591803138784882,0.0238,0.521902777341426,0.0166,"trans vs. same"
"Rhbdl3",0.512565437538694,0.024,0.358219773139401,0.049,"trans vs. same"
"Zdhhc23",0.759351496407823,0.0242,0.693416918072915,0.0056,"trans vs. same"
"Col6a1",0.617154980354131,0.0244,1.23292864251723,0.0188,"trans vs. same"
"Trhr",0.896835693205245,0.0248,0.960687450972788,0.0194,"trans vs. same"
"Rin1",0.785969030956371,0.0258,0.849801590948435,0.0158,"trans vs. same"
"Wnk4",0.777488065169959,0.026,1.12755384529786,0.0416,"trans vs. same"
"Mzf1",0.381506252634276,0.0266,0.593282877732518,0.0026,"trans vs. same"
"Gtpbp2",0.328593317007234,0.0282,0.381475343841429,8e-04,"trans vs. same"
"Cxadr",0.446208927326053,0.0284,0.273149885194455,0.0254,"trans vs. same"
"Tesc",0.523310292585339,0.0284,0.837321658199513,0.006,"trans vs. same"
"Adamts15",0.493878225082903,0.0284,0.359581745980673,0.0328,"trans vs. same"
"Fat4",0.978463397294628,0.0286,0.881973443265877,0.0154,"trans vs. same"
"Nphp4",0.356758205813134,0.029,0.419219781452295,0.0134,"trans vs. same"
"Sfxn2",0.220636089147848,0.0294,0.335180720866661,0.0186,"trans vs. same"
"Plekhg5",0.410661422058588,0.0296,0.401116133487657,0.0066,"trans vs. same"
"Rwdd2b",0.564129030611505,0.0302,0.383454305188723,0.0058,"trans vs. same"
"Lingo3",0.375145155034553,0.032,0.626090851928731,0.01,"trans vs. same"
"Pced1b",0.383474269006519,0.0322,0.463611416125541,0.0084,"trans vs. same"
"Nrip1",0.473659423583501,0.0326,0.552178509476369,0.001,"trans vs. same"
"Ppl",0.938336980318842,0.033,0.739252916056691,0.0424,"trans vs. same"
"Chst11",0.334468358778247,0.0332,0.496569883598521,0.01,"trans vs. same"
"Mrtfa",0.292920739919032,0.0332,0.344638775850274,0.0254,"trans vs. same"
"Pitpnm2",0.46473706767814,0.0334,0.632128677794198,0.007,"trans vs. same"
"Alkbh1",0.429255114920442,0.0336,0.269538783370847,0.019,"trans vs. same"
"Alkbh1",0.429255114920442,0.0336,0.269538783370847,0.019,"trans vs. same"
"Alkbh1",0.429255114920442,0.0336,0.269538783370847,0.019,"trans vs. same"
"Alkbh1",0.429255114920442,0.0336,0.269538783370847,0.019,"trans vs. same"
"Trpc1",0.308222882358216,0.034,0.358899088222785,0.003,"trans vs. same"
"Gria3",0.351538963848171,0.0342,0.423289604713712,0.0256,"trans vs. same"
"Atf7",0.241681811016775,0.0344,0.252455145652535,0.0208,"trans vs. same"
"Neurl1a",0.357858238775911,0.0362,0.362629107084987,0.0384,"trans vs. same"
"Zfp512b",0.2241560781341,0.0364,0.263563714296251,0.0192,"trans vs. same"
"Cplane2",0.46322917427403,0.037,0.484374076289569,0.0342,"trans vs. same"
"Nedd4l",0.290788237294797,0.0376,0.237880740487642,0.0462,"trans vs. same"
"Gpc4",0.787776068632406,0.0384,0.887491269130457,0.0132,"trans vs. same"
"Styx",0.25386600045478,0.0384,0.370963346911184,0.0092,"trans vs. same"
"Cinp",0.263540279688893,0.0388,0.277401553706548,0.0348,"trans vs. same"
"Pde7a",0.298641774058251,0.0388,0.227180668756734,0.0406,"trans vs. same"
"Kcng1",0.611460532355155,0.0394,0.487877483886106,0.0388,"trans vs. same"
