"batch","wt_d8","Postds","Preds","post_Ncort","given1","received1","condition2"
1,38.2,4.49935064935065,-4.08791208791209,0.0363680304657183,0.404801394315914,6.37562196047564,0
4,40,5.82017825311943,5.60805860805861,0.194475144149795,4.60971112476951,0,2
5,35.7,-4.59663865546218,-4.2463768115942,0.193357320575903,0,2.41041298409127,-1
7,43,5.3223602484472,5.72715053763441,0.600352067773758,8.9204257475925,0,2
4,36.5,-3.23939393939394,5.45697577276525,0.353757100974349,6.45359557467732,0,1
4,32.2,4.2989010989011,-5.37777777777778,0.872100785644202,0,3.87215734480639,0
2,39,-3.84473684210526,-5.17948717948718,0.291531695813146,0,1.8939212779186,-1
7,32.6,-4.41304347826087,-4.5,1,0,1.5205271160669,-1
6,33.7,5.16720779220779,-4.37575757575758,0.224910868647448,0.366263098992776,3.29636789093499,0
1,38.7,5.45539215686275,5.86467447390856,0.194071326201116,13.3584460124252,0.101200348578978,2
6,38.9,-4.98611111111111,2.50641025641026,0,3.57106521517957,0.915657747481941,1
6,40.8,-5.25595238095238,-4.92307692307692,0.521958815850368,0,2.93010479194221,-1
7,39.1,5.80986887508627,-4.91601731601732,0.606356752497502,0.20273694880892,7.09579320831222,0
7,38.9,-4.52380952380952,4.84027777777778,0.660909342755829,4.46021287379625,0.20273694880892,1
6,39.8,5.16982323232323,5.46953046953047,0.257022352214624,3.57106521517957,0,2
5,34.2,-2.45333333333333,5.35952380952381,0.425298047445678,5.78499116181906,0,1
5,39.6,5.64705882352941,-4.63333333333333,0.689122764885222,0,1.34983127109111,0
4,39.1,-2.38846153846154,-4.73939393939394,0.593735623807607,0,3.87215734480639,-1
2,36.3,4.43722943722944,4.77380952380952,0.161221573749716,2.06609593954756,0.0860873308144818,2
2,36.6,-3.53246753246753,4.14957983193277,0.131034902330612,2.15218327036205,0.0860873308144818,1
5,43.2,4.72235294117647,4.48851148851149,0.574897051786403,2.69966254218223,0,2
2,318,4.65123034859877,-3.14583333333333,0.251818462999977,0.172174661628964,2.8408819168779,0
1,37.44,-2.78484848484848,-4.20909090909091,0.520116691209405,0,2.52542470296507,-1
