SampleName,region,batch,post_idbatch,AggGiven70min,AggRec70min,pre_idbatch,pre_idbatchcage,time,Postds,Postrank,Preds,Prerank,wt_d4,wt_d8,wt_12,post_Ncort,condition1
C5.AMYB8.4.1.trim.sam.counts,AMY,8,4-1Batch8,95,0,1Batch8,1Batch8Cage4,1 hr,2.79885057471264,1,-2.19955300127714,4,43.4,41.9,41.2,0.32753730509239487,ASC
C6.PFCB10.3.3.trim.sam.counts,PFC,10,3-3Batch10,58,59,3Batch1,3Batch10Cage3,1 hr,5.34245014245014,1,4.9508547008547,1,39.7,39.8,38.8,1,DOM
C7.PFCB12.4.3.trim.sam.counts,PFC,12,4-3Batch12,0,61,3Batch1,3Batch12Cage4,1 hr,-2.29166666666667,4,4.61190476190476,1,42.9,42.6,41.8,0.4088941017746193,DES
C8.AMYB9.2.3.trim.sam.counts,AMY,9,2-3Batch9,0,48,3Batch9,3Batch9Cage2,1 hr,-2.95833333333333,4,-4.44761904761905,4,42.4,42.1,41.8,0.01725639798880854,CSUB
C9.AMYB13.1.4.trim.sam.counts,AMY,13,1-4Batch13,51,60,4Batch1,4Batch13Cage1,1 hr,-1.55,4,3.9375,1,38.7,36.6,37.9,0.1959551762596081,DES
C9.PFCB8.3.4.trim.sam.counts,PFC,8,3-4Batch8,66,0,4Batch8,4Batch8Cage3,1 hr,5.54625199362042,1,5.86919191919192,1,38.4,39,37.6,0.2974671496185921,DOM
D1.PFCB10.1.2.trim.sam.counts,mPF,10,1-2Batch10,62,0,2Batch1,2Batch10Cage1,1 hr,3.70893141945774,1,-5.04333333333333,4,40.3,40.9,41,0.16250483611528402,ASC
D3.AMYB14.5.1.trim.sam.counts,AMY,14,5-1Batch14,0,45,1Batch1,1Batch14Cage5,1 hr,-3.375,4,-4.91818181818182,4,39.4,39.3,39.8,0.17807273587067646,CSUB
D5.AMYB9.3.4.trim.sam.counts,AMY,9,3-4Batch9,0,30,4Batch9,4Batch9Cage3,1 hr,-3.72777777777778,4,4.64311594202899,1,42,40.9,41.3,0.6304524814761462,DES
D5.PFCB9.1.3.trim.sam.counts,PFC,9,1-3Batch9,59,0,3Batch9,3Batch9Cage1,1 hr,4.32777777777778,1,5.78418803418803,1,43.8,43.6,45.1,0.6413055323729723,DOM
