"reg","symbol"
"Up","Ado"
"Up","Pip4k2a"
"Up","Plekhb1"
"Up","Frmd5"
"Up","Gatad2a"
"Up","Ltc4s"
"Up","Trf"
"Up","Shox2"
"Up","Fundc2"
"Up","Slc39a6"
"Up","Fam98a"
"Up","Gab1"
"Up","Ttc9c"
"Up","Cmc2"
"Up","Pnpla2"
"Up","Irf3"
"Up","Ptn"
"Up","Il11ra1"
"Up","Tmem229b"
"Up","Kdr"
"Up","Ankrd34b"
"Up","Coro6"
"Up","Gdnf"
"Up","Slc39a13"
"Up","Kirrel"
"Up","Col11a1"
"Up","P2ry1"
"Up","Relt"
"Up","Sec23b"
"Up","Elovl7"
"Up","Nxt2"
"Up","Eif5a2"
"Up","Tex2"
"Up","Manea"
"Up","Opalin"
"Up","Pdzd7"
"Up","Enpp2"
"Up","Zbtb4"
"Up","Ankrd40"
"Up","Ranbp6"
"Up","Pnkd"
"Up","Strip2"
"Up","Emilin2"
"Up","Ntrk1"
"Up","Cdc42ep1"
"Up","Tmub1"
"Up","Ebf4"
"Up","Sars"
"Up","Hip1r"
"Up","Mia3"
"Up","Skor1"
"Up","Ccdc85c"
"Up","Lap3"
"Up","Mdh1"
"Up","Rrbp1"
"Up","Ctss"
"Up","Ppm1k"
"Up","Angel1"
"Up","Smc2"
"Up","Plekho1"
"Up","Rorc"
"Up","Cyp2j12"
"Up","Plod1"
"Up","Bend5"
"Up","Sirt2"
"Up","Car2"
"Up","Atp1b1"
"Up","Hibadh"
"Up","Jam2"
"Up","Fam20a"
"Up","Dbi"
"Up","Cd63"
"Up","Osbpl1a"
"Up","Scg3"
"Up","Glrx"
"Up","Ttll7"
"Up","Sorbs3"
"Up","Plekhf1"
"Up","Col11a2"
"Up","Uchl5"
"Up","Nudt19"
"Up","Pdcd2"
"Up","Syt6"
"Up","Fignl2"
"Up","Bag3"
"Up","Adgre1"
"Up","Dlx5"
"Up","Rom1"
"Up","Atp2b2"
"Up","Ifitm10"
"Up","Cmc1"
"Up","Mtus1"
"Up","Itgb4"
"Up","Taf13"
"Up","Inpp5f"
"Up","Rhobtb3"
"Up","Tmem88b"
"Up","Sv2a"
"Up","Brsk1"
"Up","Smndc1"
"Up","Parva"
"Up","Zic1"
"Up","Rab11fip5"
"Up","Ank1"
"Up","Vwc2"
"Up","Sparcl1"
"Up","Glrx5"
"Up","Lpin1"
"Up","Myrf"
"Up","Pitrm1"
"Up","Tle4"
"Up","Gjc2"
"Up","Rhog"
"Up","Supt16"
"Up","Hcfc1r1"
"Up","Adcy2"
"Up","Plp1"
"Up","Cyb5a"
"Up","Hcn3"
"Up","As3mt"
"Up","Pou3f1"
"Up","Rnf152"
"Up","Mad2l1bp"
"Up","Patj"
"Up","Clic4"
"Up","Gpm6b"
"Up","Arsg"
"Up","Efcab14"
"Up","Ctsa"
"Up","Plin3"
"Up","Rcbtb1"
"Up","Klf15"
"Up","Nap1l3"
"Up","Gtf3c6"
"Up","S100a10"
"Up","Sipa1"
"Up","Ldhd"
"Up","Lrrc8a"
"Up","Cntn2"
"Up","Prr18"
"Up","Ddah1"
"Up","Drd2"
"Up","Arx"
"Up","Hpf1"
"Up","Tph2"
"Up","Vcan"
"Up","Secisbp2l"
"Up","Enpp4"
"Up","Ampd3"
"Up","Tcp11l1"
"Up","Hapln2"
"Up","Tpd52"
"Up","Ppp2cb"
"Up","Gatad1"
"Up","Kyat1"
"Up","Vdac2"
"Up","Sema6c"
"Up","Epb41l3"
"Up","Msi2"
"Up","Ttll5"
"Down","Col6a2"
"Down","Grhl1"
"Down","Rprml"
"Down","Olfr167"
"Down","Ikzf4"
"Down","Atp2b4"
"Down","Zbtb7c"
"Down","Adcy6"
"Down","Vmn1r44"
"Down","Spint2"
"Down","Sirpa"
"Down","Adamts18"
"Down","Neil1"
"Down","Srsf10"
"Down","Olfr129"
"Down","Gabrb3"
"Down","Nos1"
"Down","Cdh13"
"Down","Krt77"
"Down","Gria2"
"Down","Col5a1"
"Down","Stxbp5"
"Down","Nol4"
"Down","Mfsd4a"
"Down","Esyt3"
"Down","Ccdc6"
"Down","Sulf1"
"Down","Rasal1"
"Down","Fbxo41"
"Down","P4ha3"
"Down","Armc2"
"Down","Slc25a37"
"Down","Car5b"
"Down","CK137956"
"Down","Mak"
"Down","Acvr1b"
"Down","4930523C07Rik"
"Down","Hdac7"
"Down","Eml4"
"Down","Ets2"
"Down","Col18a1"
"Down","Dennd1b"
"Down","St6galnac1"
"Down","Fank1"
"Down","Stxbp2"
"Down","Cdkl4"
"Down","Shisa7"
"Down","Cmip"
"Down","Fbxo10"
"Down","Myh7"
"Down","Sox12"
"Down","Vmn1r234"
"Down","Plat"
"Down","Cacna1b"
"Down","Ube3c"
"Down","Olfr393"
"Down","Slc7a3"
"Down","Tbc1d22a"
"Down","Magee2"
"Down","Olfr675"
"Down","Dnal1"
"Down","Fxyd5"
"Down","Atp6v1c2"
"Down","Meaf6"
"Down","Pcgf2"
"Down","Snrnp40"
"Down","Ccnd1"
"Down","Dmrtc1a"
