"symbol","logFCStatus","P.ValueStatus","adj.P.ValStatus","entrez","contrast","regStatus","logFCCort","P.ValueCort","adj.P.ValCort","regCort"
"Pvalb",-2.4730577407501,3.52781314454839e-06,0.0267831573934114,19293,"CON-DOM","down",1.80060521234297,0.0239801486239563,0.999676795804969,"up"
"Sgk1",-1.20426725600029,1.07214380616142e-05,0.0542647718425164,20393,"CON-DOM","down",1.11275969783389,0.00617984506072862,0.999676795804969,"up"
"Nfkbia",-0.688839444221524,2.13159542886683e-05,0.0809153624797849,18035,"CON-DOM","down",0.62522653098062,0.0073884556147208,0.999676795804969,"up"
"Col6a2",1.21612587596797,3.02132199876143e-05,0.0917515064583871,12834,"CON-DOM","up",-0.882106145376737,0.0474576332172315,0.999676795804969,"down"
"Dnmt1",0.450165209548299,4.04208366825106e-05,0.102291664031207,13433,"CON-DOM","up",-0.420019300035782,0.0112927148329846,0.999676795804969,"down"
"Apold1",-0.947533080303741,6.43012311801294e-05,0.128205925316302,381823,"CON-DOM","down",0.973584137658294,0.00245417770767769,0.999676795804969,"up"
"Ppp1r14b",-0.547884233987261,9.07891703653394e-05,0.137854276282731,18938,"CON-DOM","down",0.454100969294656,0.0331501566676392,0.999676795804969,"up"
"Ankrd29",-1.09913285191155,0.00014092317887517,0.1510898103992,225187,"CON-DOM","down",0.885807672714652,0.0323824845317743,0.999676795804969,"up"
"Rspo1",1.2296231135182,0.000157325759372484,0.1510898103992,192199,"CON-DOM","up",-1.11657207289129,0.0313959082816003,0.999676795804969,"down"
"Olfr167",1.05119567968886,0.000179110681453214,0.1510898103992,258937,"CON-DOM","up",-0.907303044559884,0.0286908364566757,0.999676795804969,"down"
"Ppp1r13b",0.458960985818255,0.000350270452406383,0.170179387793007,21981,"CON-DOM","up",-0.412913537620044,0.0252665306986055,0.999676795804969,"down"
"Lfng",-0.588882733751484,0.000415499373242605,0.180255499523306,16848,"CON-DOM","down",0.476049762229565,0.0465188628940078,0.999676795804969,"up"
"Clgn",-0.800583709531304,0.000719577226748859,0.193790721750056,12745,"CON-DOM","down",0.713312119929438,0.0419189609938476,0.999676795804969,"up"
"Neil1",0.804328176328561,0.00073837016234197,0.193790721750056,72774,"CON-DOM","up",-0.773991269170856,0.0217893290327458,0.999676795804969,"down"
"Srsf10",0.350044656284117,0.000778761858291298,0.193790721750056,14105,"CON-DOM","up",-0.299018029884572,0.0432130879780691,0.999676795804969,"down"
"Lysmd1",-0.575346001157977,0.000891018531539897,0.193790721750056,217779,"CON-DOM","down",0.630105711440151,0.00684318499576173,0.999676795804969,"up"
"Mbip",0.531227515121454,0.00106022344815693,0.201321029460927,217588,"CON-DOM","up",-0.65405585765248,0.00405627638084465,0.999676795804969,"down"
"Adamts2",0.518441668503213,0.00126309087898399,0.201321029460927,216725,"CON-DOM","up",-0.462341834687366,0.0443285873150764,0.999676795804969,"down"
"Apitd1",-1.11105665904388,0.00137743475784431,0.201321029460927,69928,"CON-DOM","down",0.957533182162178,0.0453102570423695,0.999676795804969,"up"
"Cebpd",-1.34656275711591,0.00151577892537641,0.203899133669581,12609,"CON-DOM","down",1.47164537035691,0.00724685309351297,0.999676795804969,"up"
"Tsc22d3",-0.41292646130018,0.00187930060406686,0.209818385089347,14605,"CON-DOM","down",0.465712700158025,0.00932114255875472,0.999676795804969,"up"
"Prr15l",1.08789231810105,0.00193613867638191,0.210299477174082,217138,"CON-DOM","up",-1.00524574969498,0.0429246664887778,0.999676795804969,"down"
"Ttc8",0.539942529518192,0.00206575760266686,0.211482398831568,76260,"CON-DOM","up",-0.696531483058705,0.00341339202643054,0.999676795804969,"down"
"Ptrh1",-1.14062016673344,0.00223934776036938,0.215114314731729,329384,"CON-DOM","down",1.03541691020141,0.0313870254525524,0.999676795804969,"up"
"Sema7a",-0.902399376969195,0.00240393523538197,0.215114314731729,20361,"CON-DOM","down",0.901998255267169,0.0258543128820197,0.999676795804969,"up"
"Stxbp2",0.34927928320982,0.00242802981987268,0.215114314731729,20911,"CON-DOM","up",-0.363309542313366,0.0301906315999558,0.999676795804969,"down"
"Ube3c",0.32380028737149,0.00281716094138341,0.216267838559953,100763,"CON-DOM","up",-0.312135323629549,0.039045412124811,0.999676795804969,"down"
"Plek",0.603037390966728,0.00292421559595062,0.216267838559953,56193,"CON-DOM","up",-0.805745729287371,0.00725842900715104,0.999676795804969,"down"
"Slc4a4",-0.337144744327435,0.00297398136251824,0.216267838559953,54403,"CON-DOM","down",0.363870424055583,0.0302645368228231,0.999676795804969,"up"
