"pre_idbatchcage","post_idbatchcage","post_batchcage","batch","Cage","winner","loser","score","group","period","time","lightsoff","date","ztime"
"2 Batch 1 Cage 3"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 3-2","Cage 1-1",1,"reorganized","Post","25 hours",11,2019-10-03,-1137
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,-1063
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,-1021
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,-960
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,-889
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,-838
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,-809
"4 Batch 1 Cage 1"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 1-4","Cage 5-2",1,"reorganized","Post","25 hours",11,2019-10-03,-747
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,-700
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,-534
"4 Batch 1 Cage 1"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 1-4","Cage 3-3",1,"reorganized","Post","25 hours",11,2019-10-03,-507
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,-418
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,-307
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,-291
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 1-3",1,"reorganized","Post","25 hours",11,2019-10-03,-208
"3 Batch 1 Cage 5"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 5-3","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,-170
"4 Batch 1 Cage 1"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 1-4","Cage 3-3",1,"reorganized","Post","25 hours",11,2019-10-03,-112
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,-54
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,-42
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,2
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,13
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,77
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,894
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 3-2",1,"reorganized","Post","25 hours",11,2019-10-03,917
"1 Batch 1 Cage 3"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 3-1","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,993
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,1026
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,1042
"3 Batch 1 Cage 1"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 1-3","Cage 5-1",1,"reorganized","Post","25 hours",11,2019-10-03,1091
"2 Batch 1 Cage 3"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 3-2","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,1145
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 3-2",1,"reorganized","Post","25 hours",11,2019-10-03,1159
"1 Batch 1 Cage 4"," Batch 1 Cage 5","Batch 1 Cage 5","1","Cage 5","Cage 4-1","Cage 4-3",1,"control","Post","25 hours",11,2019-10-03,1216
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,1246
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 5-2",1,"reorganized","Post","25 hours",11,2019-10-03,1293
"1 Batch 1 Cage 4"," Batch 1 Cage 5","Batch 1 Cage 5","1","Cage 5","Cage 4-1","Cage 4-3",1,"control","Post","25 hours",11,2019-10-03,1335
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,1365
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,1392
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 5-2",1,"reorganized","Post","25 hours",11,2019-10-03,1427
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 3-3",1,"reorganized","Post","25 hours",11,2019-10-03,1449
"4 Batch 1 Cage 2"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 2-4","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,1528
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 1-3",1,"reorganized","Post","25 hours",11,2019-10-03,1563
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,1607
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,1628
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 3-2",1,"reorganized","Post","25 hours",11,2019-10-03,1667
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 1-3",1,"reorganized","Post","25 hours",11,2019-10-03,1714
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,1749
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 5-1",1,"reorganized","Post","25 hours",11,2019-10-03,1803
"2 Batch 1 Cage 3"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 3-2","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,1896
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 3-3",1,"reorganized","Post","25 hours",11,2019-10-03,1963
"4 Batch 1 Cage 1"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 1-4","Cage 2-2",1,"reorganized","Post","25 hours",11,2019-10-03,2007
"1 Batch 1 Cage 4"," Batch 1 Cage 5","Batch 1 Cage 5","1","Cage 5","Cage 4-1","Cage 4-2",1,"control","Post","25 hours",11,2019-10-03,2035
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,2086
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,2165
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,2218
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,2236
"4 Batch 1 Cage 2"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 2-4","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,2296
"1 Batch 1 Cage 4"," Batch 1 Cage 5","Batch 1 Cage 5","1","Cage 5","Cage 4-1","Cage 4-4",1,"control","Post","25 hours",11,2019-10-03,2327
"4 Batch 1 Cage 2"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 2-4","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,2372
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,2386
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 3-4",1,"reorganized","Post","25 hours",11,2019-10-03,2450
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,2471
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,2501
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,2537
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,2579
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,2595
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,2661
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 3-4",1,"reorganized","Post","25 hours",11,2019-10-03,2695
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,2708
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,2757
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,2782
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 5-1",1,"reorganized","Post","25 hours",11,2019-10-03,2829
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,2875
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,2888
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,2905
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 3-2",1,"reorganized","Post","25 hours",11,2019-10-03,2946
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,2963
"1 Batch 1 Cage 4"," Batch 1 Cage 5","Batch 1 Cage 5","1","Cage 5","Cage 4-1","Cage 4-4",1,"control","Post","25 hours",11,2019-10-03,3028
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,3078
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,3109
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,3132
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,3156
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,3174
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 3-4",1,"reorganized","Post","25 hours",11,2019-10-03,3230
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,3275
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 3-4",1,"reorganized","Post","25 hours",11,2019-10-03,3303
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,3355
"4 Batch 1 Cage 2"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 2-4","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,3399
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 5-1",1,"reorganized","Post","25 hours",11,2019-10-03,3452
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,3475
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 1-3",1,"reorganized","Post","25 hours",11,2019-10-03,3524
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,3597
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,3617
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 3-4",1,"reorganized","Post","25 hours",11,2019-10-03,3663
"2 Batch 1 Cage 3"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 3-2","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,3707
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,3732
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,3786
"1 Batch 1 Cage 4"," Batch 1 Cage 5","Batch 1 Cage 5","1","Cage 5","Cage 4-1","Cage 4-2",1,"control","Post","25 hours",11,2019-10-03,3825
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 3-4",1,"reorganized","Post","25 hours",11,2019-10-03,3846
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 5-1",1,"reorganized","Post","25 hours",11,2019-10-03,3881
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,3935
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,4006
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,4118
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,4139
"1 Batch 1 Cage 4"," Batch 1 Cage 5","Batch 1 Cage 5","1","Cage 5","Cage 4-1","Cage 4-2",1,"control","Post","25 hours",11,2019-10-03,4222
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,4247
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 5-1",1,"reorganized","Post","25 hours",11,2019-10-03,4316
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 1-3",1,"reorganized","Post","25 hours",11,2019-10-03,4358
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,4381
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,4392
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,4466
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,4521
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 1-3",1,"reorganized","Post","25 hours",11,2019-10-03,4546
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 3-3",1,"reorganized","Post","25 hours",11,2019-10-03,4575
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,4616
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,4633
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 3-4",1,"reorganized","Post","25 hours",11,2019-10-03,4669
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 3-4",1,"reorganized","Post","25 hours",11,2019-10-03,4735
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 3-2",1,"reorganized","Post","25 hours",11,2019-10-03,4759
"3 Batch 1 Cage 5"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 5-3","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,4814
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,4845
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 3-3",1,"reorganized","Post","25 hours",11,2019-10-03,4893
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,4921
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,4937
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 3-2",1,"reorganized","Post","25 hours",11,2019-10-03,4991
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 3-3",1,"reorganized","Post","25 hours",11,2019-10-03,5008
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 5-2",1,"reorganized","Post","25 hours",11,2019-10-03,5026
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 5-1",1,"reorganized","Post","25 hours",11,2019-10-03,5052
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,5069
"1 Batch 1 Cage 4"," Batch 1 Cage 5","Batch 1 Cage 5","1","Cage 5","Cage 4-1","Cage 4-4",1,"control","Post","25 hours",11,2019-10-03,5096
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 3-4",1,"reorganized","Post","25 hours",11,2019-10-03,5130
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,5158
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 5-1",1,"reorganized","Post","25 hours",11,2019-10-03,5189
"4 Batch 1 Cage 1"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 1-4","Cage 3-3",1,"reorganized","Post","25 hours",11,2019-10-03,5248
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,5310
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 1-3",1,"reorganized","Post","25 hours",11,2019-10-03,5329
"4 Batch 1 Cage 1"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 1-4","Cage 5-2",1,"reorganized","Post","25 hours",11,2019-10-03,5348
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 3-2",1,"reorganized","Post","25 hours",11,2019-10-03,5364
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,5394
"1 Batch 1 Cage 4"," Batch 1 Cage 5","Batch 1 Cage 5","1","Cage 5","Cage 4-1","Cage 4-4",1,"control","Post","25 hours",11,2019-10-03,5423
"4 Batch 1 Cage 1"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 1-4","Cage 5-2",1,"reorganized","Post","25 hours",11,2019-10-03,5467
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,5491
"3 Batch 1 Cage 5"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 5-3","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,5550
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,5562
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,5596
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,5615
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 3-4",1,"reorganized","Post","25 hours",11,2019-10-03,5665
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,5697
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,5712
"3 Batch 1 Cage 5"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 5-3","Cage 3-2",1,"reorganized","Post","25 hours",11,2019-10-03,5737
"2 Batch 1 Cage 2"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 2-2","Cage 1-4",1,"reorganized","Post","25 hours",11,2019-10-03,5776
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,5812
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,5831
