"Cage","winner","loser","score","batch","batch.cage","group","time","id","pre_batchcage","date","hrs","min","sec","lightsoff","ztime"
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,1,23,11,83
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,2,8,11,128
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,11,3,1,11,181
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,5,25,11,325
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,5,39,11,339
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,7,39,11,459
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,10,34,11,634
"Cage 3",3,2,1,"1","Batch 1 Cage 3","reorganized","25 hours",3,"Batch 1 Cage 3",2019-09-27,11,11,14,11,674
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,13,45,11,825
"Cage 4",1,3,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,14,4,11,844
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,14,30,11,870
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,11,15,13,11,913
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,11,16,32,11,992
"Cage 3",2,4,1,"1","Batch 1 Cage 3","reorganized","25 hours",2,"Batch 1 Cage 3",2019-09-27,11,17,0,11,1020
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-27,11,17,27,11,1047
"Cage 5",1,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",1,"Batch 1 Cage 5",2019-09-27,11,18,27,11,1107
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,18,59,11,1139
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,24,14,11,1454
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,25,12,11,1512
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,26,36,11,1596
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,27,57,11,1677
"Cage 1",2,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-27,11,28,24,11,1704
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,28,39,11,1719
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,29,35,11,1775
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,30,2,11,1802
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,11,30,47,11,1847
"Cage 3",2,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",2,"Batch 1 Cage 3",2019-09-27,11,32,15,11,1935
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,33,9,11,1989
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,11,34,16,11,2056
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,40,52,11,2452
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,11,44,27,11,2667
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,48,38,11,2918
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,48,56,11,2936
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,11,50,7,11,3007
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,50,32,11,3032
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,14,27,35,11,12455
"Cage 4",1,3,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,14,28,33,11,12513
"Cage 1",3,1,0.5,"1","Batch 1 Cage 1","reorganized","25 hours",3,"Batch 1 Cage 1",2019-09-27,14,33,6,11,12786
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,14,33,37,11,12817
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,14,37,13,11,13033
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,14,38,23,11,13103
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,14,39,58,11,13198
"Cage 2",1,4,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-27,14,42,42,11,13362
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,48,37,11,13717
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,48,54,11,13734
"Cage 5",3,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,52,42,11,13962
"Cage 5",4,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",4,"Batch 1 Cage 5",2019-09-27,14,53,29,11,14009
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,54,54,11,14094
"Cage 5",3,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,55,18,11,14118
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,55,35,11,14135
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,15,8,5,11,14885
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,15,17,21,11,15441
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,15,17,50,11,15470
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,15,19,16,11,15556
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,15,19,40,11,15580
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,15,22,9,11,15729
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,15,22,22,11,15742
"Cage 2",4,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-28,12,59,24,11,7164
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-28,12,59,50,11,7190
"Cage 3",1,4,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-28,13,1,33,11,7293
"Cage 2",4,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-28,13,2,25,11,7345
"Cage 1",2,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-28,13,2,56,11,7376
"Cage 1",2,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-28,13,3,37,11,7417
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-28,13,4,31,11,7471
"Cage 2",1,4,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-28,13,5,3,11,7503
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-28,13,5,34,11,7534
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-28,13,6,14,11,7574
"Cage 5",1,2,0.5,"1","Batch 1 Cage 5","reorganized","25 hours",1,"Batch 1 Cage 5",2019-09-28,13,7,47,11,7667
"Cage 5",1,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",1,"Batch 1 Cage 5",2019-09-28,13,8,14,11,7694
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-28,13,9,24,11,7764
"Cage 2",4,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-28,13,10,39,11,7839
"Cage 2",1,4,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-28,13,13,33,11,8013
"Cage 1",2,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-28,13,15,46,11,8146
"Cage 2",4,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-28,13,16,19,11,8179
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,17,14,11,8234
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,20,49,11,8449
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,22,18,11,8538
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,25,38,11,8738
"Cage 5",1,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",1,"Batch 1 Cage 5",2019-09-28,13,26,30,11,8790
"Cage 5",4,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",4,"Batch 1 Cage 5",2019-09-28,13,29,47,11,8987
"Cage 5",4,3,1,"1","Batch 1 Cage 5","reorganized","25 hours",4,"Batch 1 Cage 5",2019-09-28,13,34,6,11,9246
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-28,13,35,38,11,9338
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,37,13,11,9433
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,39,58,11,9598
"Cage 5",3,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-28,13,40,24,11,9624
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,41,53,11,9713
"Cage 4",1,3,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-28,13,42,52,11,9772
"Cage 2",4,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-28,13,43,39,11,9819
"Cage 2",4,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-28,13,44,10,11,9850
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-28,13,47,22,11,10042
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-28,13,47,36,11,10056
"Cage 2",4,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-28,13,48,21,11,10101
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-28,13,48,45,11,10125
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,49,10,11,10150
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-28,13,49,26,11,10166
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,49,39,11,10179
"Cage 2",4,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-28,13,53,5,11,10385
"Cage 2",4,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-28,13,53,26,11,10406
"Cage 2",4,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-28,13,53,41,11,10421
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,54,13,11,10453
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,54,26,11,10466
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-28,13,58,10,11,10690
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,12,13,32,11,4412
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,14,24,11,4464
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,14,43,11,4483
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,15,17,11,4517
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,12,15,55,11,4555
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,16,15,11,4575
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,12,17,14,11,4634
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,18,39,11,4719
"Cage 4",1,3,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,18,54,11,4734
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,19,19,11,4759
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,21,27,11,4887
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,21,38,11,4898
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,21,48,11,4908
"Cage 5",3,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,22,27,11,4947
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,23,44,11,5024
"Cage 5",3,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,25,45,11,5145
"Cage 4",1,3,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,26,9,11,5169
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,27,20,11,5240
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,12,30,37,11,5437
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,30,47,11,5447
"Cage 1",3,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",3,"Batch 1 Cage 1",2019-09-29,12,31,43,11,5503
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,12,31,51,11,5511
"Cage 5",1,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",1,"Batch 1 Cage 5",2019-09-29,12,33,2,11,5582
"Cage 2",4,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-29,12,35,5,11,5705
"Cage 5",1,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",1,"Batch 1 Cage 5",2019-09-29,12,36,1,11,5761
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,37,40,11,5860
"Cage 5",3,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,38,42,11,5922
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,39,43,11,5983
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,39,52,11,5992
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,40,5,11,6005
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,41,47,11,6107
"Cage 1",2,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-29,12,43,48,11,6228
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,12,44,52,11,6292
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-29,12,45,11,11,6311
"Cage 2",4,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",4,"Batch 1 Cage 2",2019-09-29,12,45,35,11,6335
"Cage 5",4,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",4,"Batch 1 Cage 5",2019-09-29,12,46,26,11,6386
"Cage 5",1,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",1,"Batch 1 Cage 5",2019-09-29,12,48,44,11,6524
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,50,51,11,6651
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,12,51,4,11,6664
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-29,12,53,25,11,6805
"Cage 1",2,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-29,12,54,46,11,6886
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,12,54,55,11,6895
"Cage 2",1,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-29,12,55,39,11,6939
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-29,12,56,50,11,7010
"Cage 1",2,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-29,12,57,23,11,7043
"Cage 5",1,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",1,"Batch 1 Cage 5",2019-09-29,12,58,3,11,7083
"Cage 2",1,2,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-29,13,0,6,11,7206
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-29,13,0,44,11,7244
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,13,1,4,11,7264
"Cage 1",2,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-29,13,1,40,11,7300
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,13,2,42,11,7362
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,13,2,58,11,7378
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,13,4,29,11,7469
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,13,4,41,11,7481
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-29,13,6,13,11,7573
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,13,6,33,11,7593
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,13,8,22,11,7702
"Cage 5",1,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",1,"Batch 1 Cage 5",2019-09-29,13,8,51,11,7731
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-29,13,10,28,11,7828
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,13,10,42,11,7842
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-29,13,11,2,11,7862
"Cage 1",2,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-29,13,11,25,11,7885
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-29,13,11,57,11,7917
"Cage 3",4,1,0.5,"1","Batch 1 Cage 3","reorganized","25 hours",4,"Batch 1 Cage 3",2019-09-29,13,13,7,11,7987
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-29,13,14,46,11,8086
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-30,13,54,8,11,10448
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-30,13,55,56,11,10556
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-30,13,57,36,11,10656
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-30,13,58,5,11,10685
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-30,13,59,31,11,10771
"Cage 3",2,1,1,"1","Batch 1 Cage 3","reorganized","25 hours",2,"Batch 1 Cage 3",2019-09-30,14,1,3,11,10863
"Cage 3",2,1,1,"1","Batch 1 Cage 3","reorganized","25 hours",2,"Batch 1 Cage 3",2019-09-30,14,1,22,11,10882
"Cage 3",2,4,1,"1","Batch 1 Cage 3","reorganized","25 hours",2,"Batch 1 Cage 3",2019-09-30,14,1,54,11,10914
"Cage 2",1,4,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,2,7,11,10927
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,4,13,11,11053
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,4,27,11,11067
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,7,16,11,11236
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,7,29,11,11249
"Cage 2",1,4,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,7,54,11,11274
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-30,14,8,58,11,11338
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-30,14,9,7,11,11347
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-30,14,10,33,11,11433
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,11,5,11,11465
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-30,14,13,4,11,11584
"Cage 2",1,4,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,13,27,11,11607
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,14,18,11,11658
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,14,45,11,11685
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,15,45,11,11745
"Cage 3",2,4,1,"1","Batch 1 Cage 3","reorganized","25 hours",2,"Batch 1 Cage 3",2019-09-30,14,16,37,11,11797
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,17,9,11,11829
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-30,14,17,37,11,11857
"Cage 1",2,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-30,14,18,8,11,11888
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-30,14,19,5,11,11945
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-30,14,19,34,11,11974
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-30,14,21,52,11,12112
