"","symbol","as_logFC","as_pv","time","adom_logFC","adom_pv"
"116","Gcdh",0.280673314487096,0.021,70,0.27594333521435,0.032
"117","Cox20",0.33521410972506,0.0212,70,0.302210624914116,0.0406
"118","Mcmdc2",-0.362638531735179,0.0212,70,-0.436103014774654,0.0104
"119","Sult5a1",-0.251511131095948,0.0228,70,-0.270697338970086,0.0194
"120","Fjx1",0.238180715297108,0.0234,70,0.359974121592368,8e-04
"121","Rbmxl1",0.25760004949085,0.0238,70,0.285000002817466,0.0188
"122","Rpl36a",0.297338856221742,0.0238,70,0.475178291317353,0.001
"123","Dnajc28",0.391390313205351,0.0242,70,0.441793943230494,0.0192
"124","Tmem251",0.240305625380117,0.0244,70,0.235917868072725,0.0348
"125","Tubb3",0.292753354896028,0.0244,70,0.311044560490782,0.02
"126","Fam241b",0.304701689834734,0.0252,70,0.348165743684788,0.0146
"127","Eno1",0.268519275748449,0.0252,70,0.27971337780388,0.029
"128","Alyref",0.277642390794244,0.0256,70,0.310842548671364,0.0178
"129","Pex7",0.313626970956468,0.0258,70,0.337582105532593,0.0222
"130","Ypel2",0.205809878716133,0.027,70,0.223289249781183,0.0244
"131","Tiparp",-0.481305276187896,0.027,70,-0.530673469469829,0.0198
"132","Olfr1211",-0.428149455836897,0.0272,70,-0.521981417155603,0.0122
"133","Pus10",-0.501112016660174,0.0274,70,-0.638495473457674,0.0068
"134","Manba",-0.408765707280279,0.0274,70,-0.403924887484569,0.0428
"135","Auts2",-0.220421746973424,0.0282,70,-0.213442201402522,0.034
"136","Per1",-0.292462813365785,0.0284,70,-0.303437001603069,0.0288
"137","Esd",0.33038753437039,0.0286,70,0.311303946596477,0.0424
"138","Trappc1",0.246983989198799,0.029,70,0.248049629218112,0.0362
"139","Cmpk1",0.224844626593772,0.0294,70,0.288173252399857,0.0076
"140","Hpca",0.309485364445067,0.0296,70,0.374760954584746,0.009
"141","Sstr3",0.248119576236836,0.0298,70,0.244340772129224,0.036
"142","Ndufb8",0.207688443816628,0.03,70,0.205413824501834,0.035
"143","Plekha6",-0.203475237356502,0.03,70,-0.221695596658726,0.022
"144","Mien1",0.224068080746411,0.0304,70,0.288929879470284,0.0068
"145","Atp5md",0.245496813363467,0.0306,70,0.23829144854745,0.0356
"149","Atp5mpl",0.203028679701443,0.0312,70,0.207190564798195,0.0252
"150","2210016F16Rik",0.292577407258787,0.0312,70,0.443001146337115,0.0036
"151","Selenof",0.215333669836181,0.0318,70,0.245306275931663,0.0176
"152","Olfr715",-0.59293104029315,0.032,70,-0.599058735004024,0.0342
"153","Txk",-0.347592895610901,0.0328,70,-0.355015735828653,0.0364
"154","Cbs",-0.208333621876864,0.0336,70,-0.276300324021491,0.0084
"155","Cnr1",0.289449264050819,0.0338,70,0.296793773020251,0.0344
"156","Kmt2a",-0.256111687308518,0.034,70,-0.240951375006727,0.0432
"157","Wbp1l",-0.247628280207659,0.034,70,-0.366834057951396,0.0034
"158","Scn1a",-0.225389768514972,0.0342,70,-0.234725906696083,0.03
"159","Dipk1a",0.351464657951969,0.0348,70,0.649531302013773,4e-04
"160","Uqcc2",0.2136912040482,0.0362,70,0.257875291193185,0.0146
"161","D630023F18Rik",0.423125701282177,0.0366,70,0.426572877760947,0.046
"162","Mdc1",-0.2198164350015,0.0368,70,-0.28685315625646,0.0078
"163","Gipc1",0.241817540272648,0.037,70,0.307324571232201,0.012
"164","Wdr53",0.357287016282089,0.0372,70,0.476927328048481,0.0104
"165","Pi16",-0.297482408125763,0.0372,70,-0.423357863712795,0.0048
"166","Coq4",-0.234927479714176,0.0372,70,-0.234185551640798,0.041
"167","Pomt1",-0.266688081201429,0.0388,70,-0.317270958142177,0.0186
"168","Pes1",0.371313154047654,0.0394,70,0.40148415910128,0.0292
"169","Sfmbt1",-0.227185256607477,0.041,70,-0.308604722514122,0.0078
"170","Msl3l2",0.240312256090467,0.0412,70,0.341513540869647,0.0076
"171","Olfr354",-0.330121720099068,0.0412,70,-0.439046581236369,0.0128
"172","Ttc9b",0.217327457925512,0.0414,70,0.376350792371175,0.0012
"173","Gtf3c6",0.217102717560614,0.0414,70,0.262132373955243,0.019
"174","Fbxo32",0.284838296372651,0.0426,70,0.295219410454897,0.0468
"175","Apaf1",-0.352934608820818,0.0428,70,-0.36195059224089,0.0442
"176","Proz",-0.420374985601123,0.0432,70,-0.618571115779074,0.0034
"177","Lrrc42",0.267952826183091,0.046,70,0.288196250958846,0.0406
"178","Mrpl41",0.202778833407033,0.0472,70,0.321061505288069,0.0038
"179","Ccnyl1",0.287158580804075,0.048,70,0.490240941895907,0.0016
"180","Aff3",-0.206709707590535,0.0486,70,-0.258418990817447,0.0168
"181","Gucy1a2",-0.29763099994742,0.0486,70,-0.326014746955481,0.0408
"182","Exosc9",-0.506404804394469,2e-04,25,-0.406234037938263,0.0046
"183","Gtf2a1",-0.247022266624752,4e-04,25,-0.219215002610256,0.001
"184","Sema4b",0.334886820134752,4e-04,25,NA,NA
"185","Golgb1",-0.234554219316689,4e-04,25,-0.201887996739384,0.0028
"186","Kdelr1",-0.290419539550648,0.001,25,-0.210130723556833,0.0104
"187","Rpl3",-0.329808375377772,0.001,25,-0.258840297356891,0.003
"188","Wdr73",-0.367159356428753,0.0012,25,-0.264968881140878,0.0166
"189","Spin2c",-1.04379672702655,0.0014,25,-1.00361528909475,0.0016
"190","Plppr3",-0.378489874183495,0.0018,25,-0.267128330203604,0.027
"191","Nfe2l1",-0.24537681632021,0.0018,25,-0.261984618339284,4e-04
"192","Pip5k1b",-0.51047524262041,0.002,25,-0.416186518184716,0.0078
"193","Rpl23a",-0.229549837954203,0.0022,25,-0.254556041303611,2e-04
"197","Mlycd",-0.341858745346958,0.0022,25,-0.241744537212445,0.0372
"198","Cdc23",0.33621755274837,0.0024,25,0.265995000278118,0.0108
"199","Ubl5",-0.262342239626485,0.0026,25,-0.211261596722914,0.0132
"200","Snrpd2",-0.324640082371932,0.0032,25,-0.246494974307166,0.0306
"201","Afap1l2",-0.637751391063385,0.0038,25,-0.528785069345003,0.0164
"202","Adgra3",0.456028966043271,0.0038,25,NA,NA
"203","Mycl",-0.552470172157133,0.0042,25,-0.43390231540161,0.0252
"204","Zscan18",-0.457668617723221,0.0042,25,-0.420024321359209,0.0092
"205","Tmem67",0.350249465282519,0.0044,25,NA,NA
"206","Slc44a1",0.352931511597319,0.0046,25,0.24880125256536,0.0302
"207","Vps51",-0.836121990036685,0.0054,25,-0.658251848701712,0.0298
"208","Gstm7",-0.497557095189597,0.006,25,-0.439540093839796,0.014
"209","Cacna1b",-0.285446175761003,0.0064,25,-0.256792961764165,0.0148
"210","Gpr45",0.348003297580968,0.0064,25,NA,NA
"211","Zfp111",0.339633381944525,0.0064,25,NA,NA
"212","Mmgt2",0.339684498822344,0.0072,25,0.331486637602254,0.0072
"213","Map7",-0.333251206171084,0.0074,25,-0.361328241724125,0.0046
"214","Uvssa",-0.254692345708747,0.0082,25,-0.24405792361884,0.0094
"215","Cygb",-0.351160086175773,0.0084,25,-0.279697310581117,0.0366
"216","Fam117b",-0.259828541559453,0.0088,25,-0.261141319940657,0.0128
"217","Gadd45gip1",-0.42238735826958,0.009,25,-0.414833187253301,0.0092
"218","Cchcr1",0.320555498269818,0.0094,25,0.241904998554523,0.0378
"219","Snrpg",-0.655167035545176,0.0094,25,-0.486445986410572,0.04
"220","Snrnp25",-0.334838998720134,0.01,25,-0.309016018972273,0.0226
"221","Zfp646",-0.330702669152379,0.01,25,-0.253763202205921,0.042
"222","Rpl37",-0.337679348058723,0.0102,25,-0.32575278505637,0.0134
