"","symbol","dsub_logFC","dsub_pv","time","dd_logFC","dd_pv"
"244","Lrrc10b",0.926754196693095,0.0084,25,0.745281267501293,0.0372
"245","Hsf2bp",0.530652027479767,0.0086,25,0.47183232157563,0.0186
"246","Fastkd2",-0.440067523711619,0.0086,25,-0.3528674642138,0.0358
"247","Jchain",0.543625147068525,0.0088,25,0.387605771597761,0.045
"248","Zcchc4",0.390780342966228,0.009,25,0.357174038062791,0.0118
"249","Cog3",0.433954174182483,0.0096,25,0.411478442607399,0.009
"250","Tdrp",0.389062021043629,0.0096,25,0.391463200906151,0.0054
"251","Nkd1",-0.598971016123371,0.0106,25,-0.602782477539202,0.012
"252","Ighmbp2",0.45114587104331,0.0108,25,0.495285111476261,0.0018
"253","Skint4",0.330062415689445,0.0108,25,0.315210745747192,0.0118
"254","Obi1",-0.379450595268491,0.011,25,-0.295728641276891,0.0452
"255","Slc25a42",0.236604750346471,0.0112,25,0.23376915934237,0.014
"256","Dtna",0.23311180733422,0.0112,25,0.209395329572692,0.0192
"257","Magi3",-0.3499425368956,0.0114,25,-0.269377375401379,0.049
"258","Tle3",-0.384704961187369,0.0116,25,-0.304286634553629,0.0478
"259","Lancl2",-0.291505414400524,0.0118,25,-0.248819928202318,0.028
"260","Rxrg",1.02514839697124,0.0138,25,0.844417678016046,0.0404
"261","Car5b",0.258827492308521,0.014,25,0.245849525631932,0.02
"262","Heatr3",0.304352950827915,0.0144,25,0.281600317671181,0.0222
"263","Neurod1",-0.552816852940638,0.0144,25,-0.514673611278049,0.0198
"264","Sulf1",1.09092489391007,0.0148,25,1.00540694137265,0.023
"265","Prkdc",0.252371877348827,0.0148,25,0.251583574868754,0.0128
"266","Nle1",-0.38981353030351,0.015,25,-0.334932076261205,0.0428
"267","Gal3st1",0.526022350337703,0.015,25,0.782151162934192,4e-04
"268","Tmem29",-0.245868590502447,0.0152,25,-0.216845586371732,0.0304
"269","Vmn1r188",0.726238759280435,0.0154,25,0.604895685247052,0.0316
"270","Dscc1",0.349636349712743,0.016,25,0.297441966598825,0.0378
"271","Crp",0.558407967249004,0.0164,25,0.490753138039434,0.031
"272","Synm",-0.287197790872477,0.0174,25,-0.357452016510091,0.0032
"273","Slc5a5",0.983296831481174,0.0176,25,0.807634965980585,0.0398
"274","Frmd4b",0.402527102527299,0.0176,25,0.610419043140424,8e-04
"275","Mief1",0.2228327157253,0.0182,25,0.289400329253477,0.0018
"276","Sult5a1",0.280435876189395,0.0186,25,0.341427392382679,0.0046
"277","Kbtbd7",-0.213888740871949,0.0188,25,-0.218224265054863,0.0152
"278","Med12l",-0.301355017771888,0.0188,25,-0.401122942584605,0.0012
"279","Lpl",0.234800319267268,0.019,25,0.205375026950754,0.0362
"280","Trip4",0.224643507184965,0.0208,25,0.233781603111989,0.0162
"281","Nfkb1",0.30066758390728,0.0216,25,0.324421835867652,0.011
"282","Krba1",-0.241552462650754,0.0218,25,-0.218560243703229,0.0402
"283","Plekhn1",0.219856774875109,0.0218,25,0.233000269710645,0.0168
"284","Ajap1",-0.282151936052397,0.022,25,-0.295745657001756,0.0192
"285","Mthfd2l",0.290521547241041,0.0222,25,0.285736806612072,0.021
"286","Kdm4b",-0.300806666999545,0.0224,25,-0.27584018731526,0.039
"287","Zscan18",-0.365340374427741,0.0224,25,-0.327696078063729,0.0488
"288","Tmem30c",0.299702619212828,0.024,25,0.320483158843281,0.0184
"289","Rnf115",-0.234131246870198,0.0242,25,-0.20743230367671,0.046
"290","Olfr374",0.250353640012895,0.0246,25,0.253615981922443,0.0184
"291","Rpp40",0.364606514039099,0.0256,25,0.346907036283039,0.0298
"292","Rassf3",-0.517118433944731,0.0256,25,-0.473376814646344,0.0398
"293","Plec",-0.256168580214668,0.0268,25,-0.261874748245481,0.0244
"294","Fam169b",0.415112772236232,0.0284,25,0.389594430397163,0.0396
"295","Lsm8",0.227021897244628,0.029,25,0.222700711773712,0.0362
"296","Lmln",-0.421649615055249,0.0294,25,-0.419816329833802,0.0284
"297","Zfand1",0.338674483688776,0.0294,25,0.331448178175706,0.0304
"298","Gm16523",0.354838849370614,0.032,25,0.348558072861498,0.0316
"299","C2cd4c",-0.426039119086815,0.0342,25,-0.391415345525637,0.048
"300","Cbr3",0.437255732595895,0.0352,25,0.788207557533454,2e-04
"301","Fam117b",-0.220043891106765,0.0364,25,-0.221356669487969,0.0378
"302","Mcph1",-0.220250868306,0.0366,25,-0.209582729241425,0.043
"303","Bag2",-0.571135032567572,0.0366,25,-0.731459142723236,0.007
"304","Nrbf2",-0.31322209616161,0.0368,25,-0.322554329666808,0.0324
"305","",0.432259434155119,0.0392,25,0.843282784644037,0.001
"834","Dleu7",-0.409294337096715,0.0396,25,-0.593584995850584,0.0016
"835","Ece2",0.376937031497921,0.0414,25,0.562377752676847,0.0042
"836","Ptpn22",0.41557595889396,0.0428,25,0.398391805975831,0.0446
"837","Inf2",0.484354410074473,0.0428,25,0.53676686700076,0.0258
"838","Olfr1271",0.397276312624353,0.0432,25,0.377140294350849,0.0492
"839","Adam17",0.242431133209823,0.0444,25,0.330129206641768,0.0054
"840","Chd1",-0.21009183158755,0.0452,25,-0.219326522699689,0.0362
"841","Vmn1r77",0.403880013471491,0.0454,25,0.623116350271709,0.0036
"842","H1f3",0.371979434540299,0.0458,25,0.538463575550474,0.0044
"843","Gadl1",0.357391750973986,0.0474,25,0.610867457529798,8e-04
"844","Lysmd2",-0.239957546997513,0.0476,25,-0.235691837110052,0.0482
"845","Rs1",0.252054679303873,0.0478,25,0.34682549344158,0.0068
"846","Vmn2r31",0.516307704740159,0.048,25,0.555520596452327,0.0304
