"","Zsummary.qual","Z.propVarExplained.qual","Z.meanSignAwareKME.qual","Z.meanSignAwareCorDat.qual","Z.meanAdj.qual","Z.meanMAR.qual","Zsummary.pres","Zdensity.pres","Zconnectivity.pres","Z.propVarExplained.pres","Z.meanSignAwareKME.pres","Z.meanSignAwareCorDat.pres","Z.meanAdj.pres","Z.meanMAR.pres","Z.cor.kIM","Z.cor.kME","Z.cor.kMEall","Z.cor.cor","Z.cor.MAR"
"black",55.2346991714483,27.2616817808381,25.7701408874319,235.332784775148,83.2077165620586,7.88210120342093,21.5272831036367,23.7585272101568,19.2960389971166,10.6130623248855,14.717992228582,51.4372321532057,32.7990621917317,11.8726980638814,12.7572087085243,19.2960389971166,47.5849044590644,64.0342970868439,11.1725153474347
"blue",83.9630101911973,41.0485979328228,38.6823321827536,407.548599936867,126.877422449572,9.04815627215759,23.0245572760925,25.5788252312786,20.4702893209064,12.844551115589,24.2445107119869,84.5189893124639,26.9131397505702,5.14482758681324,11.8368026376791,20.4702893209064,88.2301268309069,64.6115642135409,17.3675253599328
"brown",98.9570810986662,42.8520466325297,39.6701125325952,409.376652451585,155.062115564803,16.3460645238906,8.2810821439108,1.27068236036503,15.2914819274566,-4.06025799882197,-1.47344331711703,24.8472902936666,4.01480803784709,7.5457277076565,15.2914819274566,6.64122677257351,7.5839631193262,52.2695414668501,17.1646124832846
"cyan",55.6238718370423,22.9449300118797,20.7448709743422,181.45357138992,88.3028136622049,9.4639620637971,20.4234668593702,24.2066823665074,16.640251352233,11.4776889719653,14.6984420840812,53.3645154547905,33.7149226489336,8.06166058096993,13.1220955600227,16.640251352233,69.0450127349746,46.7840635027833,13.0729356868634
"darkgreen",22.9599374847847,13.8213531728999,13.9021306275246,95.2180238293489,32.0177443420449,4.59110365306489,3.68372184298679,2.47691295076875,4.89053073520482,-1.17865999163856,3.46686229823261,9.42396145794917,1.4869636033049,1.07243787266869,4.89053073520482,4.20883152000262,20.1336000569721,15.368843227097,8.27006825098323
"darkgrey",34.6455728634392,17.2694129091871,15.3799880477514,85.3675785585767,52.0217328176913,5.66376833026933,3.76412805494055,4.95936234690358,2.56889376297752,1.63254136166724,6.63495309272482,15.6359056435854,3.28377160108234,0.863717639261826,2.32245209633217,2.56889376297752,89.620302821242,9.05413726406614,3.11472304825636
"darkred",44.6502733158305,20.6522271332504,18.5128915032506,131.29631158829,68.6483194984107,7.41024781669004,11.3218767524396,13.6908998090206,8.95285369585854,6.30282537746495,11.5257867517391,37.8218513441463,15.856012866302,4.93185913331021,6.41263404848587,8.95285369585854,71.7368954009584,26.2968798130624,5.85490774492381
"darkturquoise",26.6743067926663,16.4236737522676,15.8574715534488,104.372949463629,36.9249398330651,2.87482914205962,11.0348146169197,14.8421957643218,7.22743346951752,6.39289463916346,8.78032219689586,24.2220237559055,20.9040693317477,5.29824128180914,6.13276386326218,7.22743346951752,55.9954616791839,19.0936644373675,5.72221512271334
"gold",-0.433334982814211,-0.576595230804679,-0.409318478902878,0.997597493142908,-0.457351486725544,-0.275333966893534,13.3588827101505,7.08606418181394,19.6317012384871,-0.271295299095576,14.4434236627235,119.897266459596,-0.501004795886695,-0.473895711072691,8.45017442541097,19.6317012384871,65.8974681276886,156.028618045089,11.5502510673696
"green",63.4104093524547,33.2460272239398,31.3234585270401,319.643568508167,93.5747914809698,6.20010801763259,9.4137221864929,7.88477813933773,10.9426662336481,-0.233460549819961,10.8639558122951,29.3094703064,4.90560046638034,1.93065916141994,9.06013034809649,10.9426662336481,69.7413877419338,34.201390936856,12.577411203789
"greenyellow",37.259760134465,20.7678011844552,20.6140817986477,180.175361989767,53.7517190844747,5.60184277931401,9.87173661887487,9.68982071256251,10.0536525251872,1.53109835220766,9.76366457721874,29.0870523951869,9.61597684790628,4.76538446900463,7.47195265331109,10.0536525251872,52.5242037719711,36.6858879973963,9.2419373346548
