"Well","plate","dilution_factor","final_conc_ng_ul","mean_con_ng_ul","batch","period","post_id","precage","pre_id","post_idbatch","pre_idbatch","pre_idbatchcage"
"C9",1,100,146.9458187714,141.575163273998,"14","Post","5-1","Cage5","1","5-1Batch14","1 Batch14","1Batch14Cage5"
"C10",1,100,136.204507776596,141.575163273998,"14","Post","5-1","Cage5","1","5-1Batch14","1 Batch14","1Batch14Cage5"
"D9",1,100,79.1553636224839,75.1428843572082,"2","Pre","2-2","Cage2","2","2-2Batch2","2 Batch2","2Batch2Cage2"
"D10",1,100,71.1304050919324,75.1428843572082,"2","Pre","2-2","Cage2","2","2-2Batch2","2 Batch2","2Batch2Cage2"
"E9",1,100,69.2871482183359,63.7797764664114,"2","Post","2-2","Cage2","2","2-2Batch2","2 Batch2","2Batch2Cage2"
"E10",1,100,58.2724047144869,63.7797764664114,"2","Post","2-2","Cage2","2","2-2Batch2","2 Batch2","2Batch2Cage2"
"F9",1,100,46.3680635719289,50.7233860510606,"2","Pre","3-4","Cage3","4","3-4Batch2","4 Batch2","4Batch2Cage3"
"F10",1,100,55.0787085301923,50.7233860510606,"2","Pre","3-4","Cage3","4","3-4Batch2","4 Batch2","4Batch2Cage3"
"G9",1,100,51.4499997626938,56.3740843036573,"2","Post","3-4","Cage3","4","3-4Batch2","4 Batch2","4Batch2Cage3"
"G10",1,100,61.2981688446209,56.3740843036573,"2","Post","3-4","Cage3","4","3-4Batch2","4 Batch2","4Batch2Cage3"
"H9",1,100,117.862508244114,115.193578839749,"3","Pre","1-3","Cage1","3","1-3Batch3","3 Batch3","3Batch3Cage1"
"H10",1,100,112.524649435385,115.193578839749,"3","Pre","1-3","Cage1","3","1-3Batch3","3 Batch3","3Batch3Cage1"
"A11",1,100,47.5106882355602,50.6182137153102,"3","Post","1-3","Cage1","3","1-3Batch3","3 Batch3","3Batch3Cage1"
"A12",1,100,53.7257391950601,50.6182137153102,"3","Post","1-3","Cage1","3","1-3Batch3","3 Batch3","3Batch3Cage1"
"B11",1,100,34.3444337447019,33.2545342406921,"3","Pre","1-2","Cage1","2","1-2Batch3","2 Batch3","2Batch3Cage1"
"B12",1,100,32.1646347366822,33.2545342406921,"3","Pre","1-2","Cage1","2","1-2Batch3","2 Batch3","2Batch3Cage1"
"C11",1,100,59.0117143668002,55.7115397470245,"3","Post","1-2","Cage1","2","1-2Batch3","2 Batch3","2Batch3Cage1"
"C12",1,100,52.4113651272488,55.7115397470245,"3","Post","1-2","Cage1","2","1-2Batch3","2 Batch3","2Batch3Cage1"
"D11",1,100,93.5420739446408,103.466279864663,"4","Pre","2-4","Cage2","4","2-4Batch4","4 Batch4","4Batch4Cage2"
"D12",1,100,113.390485784685,103.466279864663,"4","Pre","2-4","Cage2","4","2-4Batch4","4 Batch4","4Batch4Cage2"
