"symbol","reg"
"Garre1","Down"
"Mog","Down"
"Retreg1","Down"
"Pak5","Down"
"Kcnd2","Down"
"Runx1","Down"
"Eps15","Down"
"Siglech","Down"
"Klhl1","Down"
"Scarb2","Down"
"Oprk1","Down"
"Fstl5","Down"
"Rcbtb1","Down"
"Mal","Down"
"Flrt2","Down"
"Sash1","Down"
"Scd2","Down"
"Washc2","Down"
"Rai2","Down"
"Prrg1","Down"
"Wdr41","Down"
"Flrt3","Down"
"Gpr139","Down"
"Tubgcp5","Down"
"Igdcc3","Down"
"Arhgef10","Down"
"Qk","Down"
"Dmrtb1","Down"
"Cttnbp2nl","Down"
"Rhog","Down"
"Lpar1","Down"
"Tlcd1","Down"
"Clcn5","Down"
"Cdc42ep2","Down"
"Dennd4b","Down"
"Lims1","Down"
"Adcyap1r1","Down"
"Unc13c","Down"
"Zfp677","Down"
"Ndrg1","Down"
"Cwf19l2","Down"
"Cpeb3","Down"
"Zfp608","Down"
"Ugt8a","Down"
"Cnnm2","Down"
"Bean1","Down"
"Tfeb","Down"
"Zfhx3","Down"
"Tspan17","Down"
"Lhfpl3","Down"
"Abcc8","Down"
"Mtus1","Down"
"Appl2","Down"
"Atp1b3","Down"
"Clcn6","Down"
"Cep104","Down"
"Clic4","Down"
"B3galt1","Down"
"Plekhg3","Down"
"Pacs2","Down"
"Phlpp1","Down"
"Endod1","Down"
"Pcdhb21","Down"
"Abat","Down"
"Myo10","Down"
"Nkrf","Down"
"Cep43","Down"
"Shb","Down"
"Car9","Down"
"Smim1","Down"
"Enpp2","Down"
"Lbh","Down"
"Oxsr1","Down"
"Cntn2","Down"
"Meis2","Down"
"Cpm","Down"
"Slc44a1","Down"
"Sdad1","Down"
"Lig1","Down"
