symbol
5HT1A
5HT1B
5HT1D
5HT1E
5HT4
5HT6
5HT7
ADCY1
ADCY10
ADCY2
ADCY3
ADCY4
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
DDC
GCH1
GNAS
HTR2A
HTR2B
HTR2C
HTR3A
HTR3B
HTR3C
HTR3D
HTR3E
HTR5A
IL4I1
MAOA
MAOB
PCBD
PTS
QDPR
SERT
SLC18A1
SLC18A2
SLC18A3
SMOX
SPR
TPH1
TPH2
